,price,offer date,ID,Oferta od,Kategoria,Marka pojazdu,Model pojazdu,Generacja,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Napęd,Typ,Liczba drzwi,Liczba miejsc,Kolor,Metalik,Możliwość finansowania,Pierwsza rejestracja,Numer rejestracyjny pojazdu,Zarejestrowany w Polsce,Serwisowany w ASO,Stan,ABS,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,Bluetooth,Czujniki parkowania przednie,Elektrochromatyczne lusterko wsteczne,Gniazdo AUX,Klimatyzacja automatyczna,Kurtyny powietrzne,Relingi dachowe,Światła przeciwmgielne,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alufelgi,Czujnik deszczu,Czujniki parkowania tylne,Elektryczne szyby tylne,Gniazdo USB,Klimatyzacja dwustrefowa,Nawigacja GPS,System Start-Stop,Tempomat,Centralny zamek,Immobilizer,Radio fabryczne,ASR (kontrola trakcji),Czujnik zmierzchu,Elektrochromatyczne lusterka boczne,ESP (stabilizacja toru jazdy),Isofix,Komputer pokładowy,Podgrzewane lusterka boczne,Światła do jazdy dziennej,Wielofunkcyjna kierownica,Kraj pochodzenia,Elektrycznie ustawiane fotele,Poduszki boczne przednie,Przyciemniane szyby,Tapicerka skórzana,Hak,MP3,Podgrzewane przednie siedzenia,Wersja,Emisja CO2,VAT marża,Pierwszy właściciel,Bezwypadkowy,Podgrzewana przednia szyba,Faktura VAT,Tempomat aktywny,Alarm,Asystent pasa ruchu,Czujnik martwego pola,Łopatki zmiany biegów,Ogranicznik prędkości,Poduszki boczne tylne,Tapicerka welurowa,Gniazdo SD,Poduszka powietrzna chroniąca kolana,Światła LED,Zmieniarka CD,Perłowy,Leasing,Odtwarzacz DVD,Kamera cofania,Klimatyzacja manualna,Światła Xenonowe,Kierownica po prawej (Anglik),Filtr cząstek stałych,Uszkodzony,Akryl (niemetalizowany),Asystent parkowania,Podgrzewane tylne siedzenia,Klimatyzacja czterostrefowa,Dach panoramiczny,HUD (wyświetlacz przezierny),Tuner TV,Opłata początkowa,Miesięczna rata,Liczba pozostałych rat,Wartość wykupu,Regulowane zawieszenie,Szyberdach,Ogrzewanie postojowe,Gwarancja dealerska (w cenie),lub do (przebieg km),Radio niefabryczne,Matowy,Okres gwarancji producenta,Homologacja ciężarowa,Tuning,VIN
332,109900,"09:40, 19 lutego 2021",6081810710,Firmy,Osobowe,Volkswagen,Passat,B8 (2014-),2018,8 104 km,1 968 cm3,Diesel,190 KM,Automatyczna,Na przednie koła,Sedan,4,5,Czarny,,Tak,26/06/2019,,Tak,Tak,Używane,True,True,,,True,True,True,True,True,True,,True,,True,True,True,True,True,True,True,,True,,,True,True,True,True,True,,True,True,True,True,True,True,Polska,,True,True,,,,True,,,,Tak,Tak,,Tak,True,True,,,True,,,,True,,True,,,Tak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,45900,"09:39, 19 lutego 2021",6077211990,Osoby prywatnej,Osobowe,Volkswagen,Passat,B8 (2014-),2015,146 000 km,1 598 cm3,Diesel,120 KM,Manualna,Na przednie koła,Kombi,5,5,Czarny,Tak,,16/07/2015,,,Tak,Używane,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,Niemcy,,True,True,,,True,,1.6 TDI BMT Comfortline,110 g/km,,Tak,Tak,True,Tak,,True,,,,True,True,True,True,True,True,,,,,True,,,,,,,True,,,,,,,,,,,,,,,,,,,,
334,63900,"09:34, 19 lutego 2021",6081810620,Firmy,Osobowe,Volkswagen,Passat,,2017,88 434 km,1 400 cm3,Benzyna,125 KM,Manualna,Na przednie koła,Kombi,5,5,Czarny,Tak,Tak,16/10/2017,KR2AV01,Tak,,Używane,True,True,True,True,True,True,True,True,True,True,,,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,Polska,,True,,,,True,,,,,Tak,Tak,,Tak,,,,,,,,,True,,True,,,Tak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,6200,"09:32, 19 lutego 2021",6076748417,Firmy,Osobowe,Volkswagen,Passat,B5 FL (2000-2005),2003,341 000 km,1 896 cm3,Diesel,100 KM,Manualna,Na przednie koła,Kombi,5,5,Zielony,Tak,,02/06/2003,GA0022G,Tak,,Używane,True,True,True,True,,,True,True,True,True,,True,True,True,True,True,,,True,,,,,,True,True,True,,,True,True,True,,True,,,,,,,,,,,1.9 TDI Comfortline,,Tak,,Tak,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
336,67000,"09:29, 19 lutego 2021",6080094533,Osoby prywatnej,Osobowe,Volkswagen,Passat,B8 (2014-),2016,236 367 km,1 968 cm3,Diesel,240 KM,Automatyczna,4x4 (stały),Kombi,5,5,Czarny,Tak,,,OP 6195G,Tak,Tak,Używane,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Polska,,True,True,True,,True,True,Variant 2.0 TDI SCR 4Motion DSG (BMT),151 g/km,,,Tak,,,True,True,True,True,True,,True,,True,True,True,,Tak,,,True,,,,,,,True,,True,,True,,,,,,True,,,,,,,,,,
337,44999,"09:29, 19 lutego 2021",6081805975,Firmy,Osobowe,Volkswagen,Passat,B7 (2010-2014),2015,124 313 km,1 968 cm3,Diesel,150 KM,Automatyczna,Na przednie koła,Sedan,5,5,Inny kolor,Tak,Tak,,,Tak,Tak,Używane,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,2.0 TDI BMT Highline DSG,122 g/km,Tak,Tak,,True,,True,True,True,True,True,True,True,True,True,True,,True,Tak,,True,True,,,,Tak,,,True,,,True,,,,,,,,True,,,,,,,,,
338,25000,"09:27, 19 lutego 2021",6079111903,Firmy,Osobowe,Volkswagen,Passat,B8 (2014-),2015,185 000 km,1 968 cm3,Diesel,150 KM,Automatyczna,Na przednie koła,Kombi,5,5,Czarny,Tak,,,,Tak,Tak,Używane,True,,True,True,True,,True,,True,,,,True,True,True,True,True,True,,,,,,True,True,True,True,True,True,,,True,True,,,True,Polska,,,,,,,,,,Tak,,,,,,True,,,,,,,True,,True,,,,,,,True,,,Tak,,,,,,,,,,,,,,,,,,,,,,
339,64900,"09:26, 19 lutego 2021",6081003506,Firmy,Osobowe,Volkswagen,Passat,,2017,94 230 km,1 968 cm3,Diesel,150 KM,Manualna,Na przednie koła,Sedan,4,5,Brązowy,Tak,Tak,29/03/2017,WI875FU,Tak,Tak,Używane,True,True,True,True,True,True,True,True,True,True,,True,,True,True,True,True,True,True,,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Polska,,True,,,,,,,,,Tak,Tak,,Tak,,,,,,True,,,True,,True,,,Tak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,55900,"09:26, 19 lutego 2021",6081003498,Firmy,Osobowe,Volkswagen,Passat,,2016,132 803 km,1 395 cm3,Benzyna,125 KM,Manualna,Na przednie koła,Kombi,5,5,Niebieski,Tak,Tak,19/04/2016,WI393ET,Tak,Tak,Używane,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,Polska,,True,,,,,,,,,Tak,Tak,,Tak,,,,,,True,,,True,,True,,,Tak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,61500,"09:25, 19 lutego 2021",6081003466,Firmy,Osobowe,Volkswagen,Passat,,2017,83 640 km,1 395 cm3,Benzyna,125 KM,Manualna,Na przednie koła,Sedan,4,5,Szary,Tak,Tak,29/03/2017,WI891FU,Tak,Tak,Używane,True,True,True,True,True,True,True,True,True,True,,,,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Polska,,,,,,,,,,,Tak,Tak,,Tak,,,,,,True,,,True,True,True,,,Tak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
