,price,offer date,ID,Oferta od,Kategoria,Marka pojazdu,Model pojazdu,Generacja,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Napęd,Typ,Liczba drzwi,Liczba miejsc,Kolor,Możliwość finansowania,Faktura VAT,Kraj pochodzenia,Serwisowany w ASO,Stan,ABS,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Elektrochromatyczne lusterka boczne,CD,Immobilizer,Radio fabryczne,Centralny zamek,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,Wersja,Metalik,Alufelgi,Czujniki parkowania przednie,Elektryczne szyby tylne,Isofix,Podgrzewana przednia szyba,Czujnik deszczu,Czujniki parkowania tylne,Elektrycznie ustawiane fotele,Klimatyzacja automatyczna,Wielofunkcyjna kierownica,Elektryczne szyby przednie,Czujnik zmierzchu,Gniazdo USB,Nawigacja GPS,Perłowy,Zarejestrowany w Polsce,ASR (kontrola trakcji),Bluetooth,Dach panoramiczny,Kurtyny powietrzne,Podgrzewane lusterka boczne,Poduszka powietrzna chroniąca kolana,Przyciemniane szyby,Światła do jazdy dziennej,Tapicerka skórzana,Alarm,Asystent parkowania,Elektrochromatyczne lusterko wsteczne,ESP (stabilizacja toru jazdy),Klimatyzacja dwustrefowa,Łopatki zmiany biegów,Podgrzewane przednie siedzenia,Poduszki boczne przednie,System Start-Stop,Światła LED,Tempomat aktywny,Asystent pasa ruchu,Czujnik martwego pola,Gniazdo AUX,Kamera cofania,Komputer pokładowy,Podgrzewane tylne siedzenia,Poduszki boczne tylne,Szyberdach,Światła przeciwmgielne,Emisja CO2,VAT marża,Gwarancja dealerska (w cenie),Pierwsza rejestracja,Numer rejestracyjny pojazdu,Pierwszy właściciel,Bezwypadkowy,MP3,Relingi dachowe,Hak,Tempomat,Tapicerka welurowa,Leasing,Miesięczna rata,Klimatyzacja manualna,Filtr cząstek stałych,Ogranicznik prędkości,Gniazdo SD,HUD (wyświetlacz przezierny),Światła Xenonowe,Opłata początkowa,Liczba pozostałych rat,Wartość wykupu,Klimatyzacja czterostrefowa,Ogrzewanie postojowe,Uszkodzony,Tuning,Odtwarzacz DVD,Zmieniarka CD,Radio niefabryczne,Akryl (niemetalizowany),Homologacja ciężarowa,lub do (przebieg km),Regulowane zawieszenie,Tuner TV,Okres gwarancji producenta,VIN,Kierownica po prawej (Anglik),Matowy,Zarejestrowany jako zabytek
0,17900,"16:07, 3 lutego 2021",6081567509,Firmy,Osobowe,Ford,Transit,V (2000-2006),2003,235 000 km,2 402 cm3,Diesel,90 KM,Manualna,Na tylne koła,Minivan,5,9,Czerwony,Tak,Tak,Belgia,Tak,Używane,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,26900,"16:06, 3 lutego 2021",6081567482,Osoby prywatnej,Osobowe,Ford,Mondeo,Mk4 (2007-2014),2012,249 500 km,1 600 cm3,Diesel,141 KM,Manualna,Na przednie koła,Sedan,,,Srebrny,,,,,Używane,True,True,True,True,,True,True,True,True,True,Mk4 (2007-2014),Tak,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,126000,"16:06, 3 lutego 2021",6079880474,Osoby prywatnej,Osobowe,Ford,EDGE,,2019,29 000 km,2 000 cm3,Benzyna,243 KM,Automatyczna,4x4 (dołączany automatycznie),SUV,4,5,Czarny,,,Kanada,,Używane,True,True,True,,True,True,True,True,True,True,,,True,True,True,True,,True,True,True,True,True,True,True,True,True,Tak,Tak,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,79900,"16:05, 3 lutego 2021",6081909539,Firmy,Osobowe,Ford,Kuga,II (2012-),2018,34 500 km,1 499 cm3,Benzyna,150 KM,Manualna,Na przednie koła,SUV,5,5,Szary,,,Niemcy,Tak,Używane,True,True,True,,True,True,True,True,True,True,1.5 EcoBoost FWD Edition ASS GPF,Tak,True,True,True,True,True,True,True,,True,True,True,True,True,True,,Tak,True,True,,True,True,,True,True,True,,True,,True,True,,True,True,True,True,,,,True,,True,,,,True,169 g/km,Tak,3 miesięcy,17/08/2018,PGN337KA,Tak,Tak,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,46000,"16:05, 3 lutego 2021",6081531949,Firmy,Osobowe,Ford,Focus,Mk3 (2010-),2016,51 711 km,1 499 cm3,Benzyna,150 KM,Manualna,Na przednie koła,Kombi,5,5,Niebieski,Tak,Tak,Polska,Tak,Używane,True,True,,,,,True,True,,True,,,,,,True,True,,True,,,True,,,True,,,Tak,True,True,,,,,,True,,,,,True,,,,True,True,,,,,,,True,,,,True,,,,02/03/2016,,Tak,,,,,True,,Tak,274 PLN,True,,,,,,,,,,,,,,,,,,,,,,,,,
5,14999,"16:04, 3 lutego 2021",6080115152,Osoby prywatnej,Osobowe,Ford,Mondeo,Mk4 (2007-2014),2008,345 000 km,1 753 cm3,Diesel,125 KM,Manualna,Na przednie koła,Kombi,5,,Srebrny,,,,,Używane,True,True,True,,True,True,True,True,True,True,1.8 TDCi Trend,,,,True,True,True,,True,True,,True,True,,,,,Tak,,,,True,True,True,,,,True,True,True,True,True,,,True,,,,,,True,,True,,,,True,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,51900,"16:04, 3 lutego 2021",6081907935,Osoby prywatnej,Osobowe,Ford,Mondeo,Mk5 (2014-),2015,108 000 km,2 000 cm3,Diesel,150 KM,Manualna,Na przednie koła,Kombi,5,,Szary,,,Niemcy,Tak,Używane,True,True,True,True,True,True,True,True,True,True,,,True,True,True,True,True,True,True,,True,True,True,True,True,True,,Tak,True,True,,True,True,,True,,,True,True,True,True,True,,True,True,True,True,,True,True,True,,True,,,,True,,,,,,Tak,Tak,True,True,,True,,,,,Tak,True,,,,,,,,,,,,,,,,,,,,,,,
7,79500,"16:04, 3 lutego 2021",6080190295,Firmy,Osobowe,Ford,Kuga,II (2012-),2017,120 000 km,1 997 cm3,Diesel,150 KM,Automatyczna,4x4 (dołączany ręcznie),SUV,5,5,Czerwony,Tak,Tak,,Tak,Używane,True,True,True,,True,True,True,True,True,True,2.0 TDCi 4WD Titanium Plus,,True,True,True,True,True,True,True,,True,True,True,True,True,True,,Tak,True,True,,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,,True,,True,True,True,,True,,True,140 g/km,,,,,Tak,Tak,True,True,,True,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
8,195000,"16:04, 3 lutego 2021",6081909463,Firmy,Osobowe,Ford,EDGE,,2019,3 750 km,1 997 cm3,Diesel,238 KM,Automatyczna,4x4 (dołączany automatycznie),Kombi,5,5,Biały,Tak,Tak,Polska,Tak,Używane,True,True,True,,,,,True,True,True,,Tak,True,,True,,,,,,,,True,,True,,,Tak,,,,,True,,True,,,True,,,,True,,,True,True,True,,,,,True,,,,,True,,,,29/09/2020,,Tak,Tak,,True,,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
9,89999,"16:03, 3 lutego 2021",6081909414,Firmy,Osobowe,Ford,Tourneo Custom,,2017,89 046 km,1 995 cm3,Diesel,130 KM,Manualna,Na przednie koła,Minivan,4,8,Szary,,,Polska,Tak,Używane,True,True,True,True,True,True,True,True,True,True,2.0 TDCi L2 Titanium,Tak,True,True,,True,True,True,True,,True,True,True,True,True,,,Tak,,True,,True,True,,True,True,,True,,True,True,True,,True,True,True,,,True,,True,True,True,,,,True,162 g/km,,,10/11/2017,CTR18698,Tak,Tak,,,,True,,,,,Tak,True,,,,,,,,,,,,,,,,,,,,,,,
10,57800,"16:03, 3 lutego 2021",6079349992,Firmy,Osobowe,Ford,Mondeo,Mk5 (2014-),2015,186 000 km,1 997 cm3,Diesel,150 KM,Automatyczna,Na przednie koła,Kombi,5,5,Szary,Tak,,,Tak,Używane,True,True,True,,True,True,True,True,True,True,2.0 TDCi Titanium PowerShift,Tak,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,Tak,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,,True,,True,123 g/km,Tak,,,,Tak,Tak,True,True,True,True,,,,,,True,True,True,,,,,,,,,,,,,,,,,,,,,
11,16900,"16:03, 3 lutego 2021",6078492982,Firmy,Osobowe,Ford,Focus,Mk2 (2004-2011),2009,148 000 km,1 596 cm3,Benzyna,100 KM,Manualna,Na przednie koła,Kombi,5,5,Szary,Tak,,,Tak,Używane,True,True,True,,True,True,True,True,True,True,1.6 FX Gold / Gold X,Tak,,,,True,,,,,True,True,True,,,,,Tak,True,,,,True,,,True,,True,,,True,True,,,True,,,,,,,,True,,True,,True,,Tak,,,,Tak,Tak,,True,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,44800,"16:02, 3 lutego 2021",6077280545,Firmy,Osobowe,Ford,Fiesta,Mk8 (2017-),2018,50 000 km,1 084 cm3,Benzyna,85 KM,Manualna,Na przednie koła,Kompakt,5,5,Czarny,,,,Tak,Używane,True,True,True,,True,True,True,True,True,True,1.1 SYNC Edition,Tak,True,,,True,,,True,,,True,True,True,,True,,Tak,True,True,,True,,True,,True,,True,,True,True,,,,True,True,,,,,True,,True,,,,True,107 g/km,,,,SZ2847M,Tak,Tak,True,,,True,True,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,
13,23900,"16:02, 3 lutego 2021",6081719903,Firmy,Osobowe,Ford,Mondeo,Mk4 (2007-2014),2014,221 000 km,1 560 cm3,Diesel,115 KM,Manualna,Na przednie koła,Sedan,5,5,Biały,,,,,Używane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,15999,"16:02, 3 lutego 2021",6078039574,Firmy,Osobowe,Ford,Mondeo,Mk4 (2007-2014),2009,300 000 km,1 753 cm3,Diesel,100 KM,Manualna,Na przednie koła,Kombi,5,5,Inny kolor,Tak,,Polska,Tak,Używane,True,True,True,,,True,True,True,True,True,1.8 TDCi Ambiente,Tak,,,,,True,,True,,True,True,True,,,,,,,,,True,,,True,,,True,,,,True,,,,,,,,,True,,True,,,,True,,Tak,,,,Tak,,,True,,True,True,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
15,1990,"16:01, 3 lutego 2021",6081909207,Osoby prywatnej,Osobowe,Ford,Mondeo,Mk3 (2000-2006),2006,299 215 km,1 998 cm3,Diesel,115 KM,Manualna,Na przednie koła,Kombi,5,,Inny kolor,,,Niemcy,Tak,Używane,True,,True,,,True,True,True,True,True,,,,,,,,,,,True,True,True,,,,,,True,,,,,,,,,,,,,,,,True,,,,,,,,True,,,,,,,,,,,Tak,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,35002,"16:01, 3 lutego 2021",6081719859,Firmy,Osobowe,Ford,Focus,Mk3 (2010-),2017,159 416 km,1 596 cm3,Benzyna+LPG,105 KM,Manualna,Na przednie koła,Sedan,5,5,Brązowy,Tak,Tak,Polska,Tak,Używane,True,True,,,,,True,True,,True,,Tak,,,,True,,True,,,,True,,True,True,,,Tak,True,True,,,,,,,,,,,True,,,,True,,,,,,,,True,,,,True,,,,28/12/2017,,,Tak,,,,True,,Tak,208 PLN,True,,,,,,,,,,,,,,,,,,,,,,,,,
17,35000,"16:00, 3 lutego 2021",6081908078,Osoby prywatnej,Osobowe,Ford,Focus,Mk3 (2010-),2016,138 000 km,1 498 cm3,Diesel,120 KM,Manualna,,Kompakt,5,,Czarny,,Tak,,Tak,Używane,True,True,True,,True,True,True,True,True,True,1.5 TDCi Titanium,,True,True,True,,,True,True,,True,True,True,True,True,True,,Tak,,True,,,True,,True,True,,,True,,,True,,,,,,,,,True,,,,,,True,105 g/km,,,26/07/2016,,,Tak,True,,,True,,Tak,616 PLN,,,,True,,,5 000 PLN,62,"7 642,28 PLN",,,,,,,,,,,,,,,,,
18,75900,"16:00, 3 lutego 2021",6081531676,Firmy,Osobowe,Ford,Mondeo,Mk5 (2014-),2018,102 155 km,1 499 cm3,Benzyna+LPG,165 KM,Manualna,Na przednie koła,Kombi,5,5,Srebrny,Tak,Tak,Polska,Tak,Używane,True,True,True,,True,True,True,True,True,True,1.5 EcoBoost Trend,Tak,True,True,True,True,True,True,True,,True,True,True,,True,,,Tak,True,True,,True,True,True,,True,,,,True,True,True,,,True,True,,,,,,True,True,,,,True,152 g/km,,,07/08/2018,PO9GU82,Tak,Tak,True,True,,True,,Tak,,,,True,,,,,,,,,,,,,,,,,,,,,,,
19,104000,"15:59, 3 lutego 2021",6081186126,Osoby prywatnej,Osobowe,Ford,Mustang,,2015,80 000 km,4 951 cm3,Benzyna,421 KM,Automatyczna,Na tylne koła,Coupe,3,4,Biały,,,,,Używane,,True,True,,,,True,True,True,True,5.0 V8 GT,,True,True,,,,,True,True,,True,True,,True,True,,Tak,,True,,,,,True,,True,True,,,,True,True,,,,,,,,,True,True,,,,True,281 g/km,Tak,,01/01/2015,SK042ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,30999,"15:59, 3 lutego 2021",6081292189,Osoby prywatnej,Osobowe,Ford,Mondeo,Mk4 (2007-2014),2014,205 240 km,1 997 cm3,Diesel,140 KM,Manualna,Na przednie koła,Kombi,5,5,Czarny,,,,,Używane,True,True,True,True,True,True,True,True,True,True,2.0 TDCi Titanium,,True,True,True,True,True,True,True,,True,True,True,True,True,True,,,True,True,,True,True,True,,True,,True,,True,True,,,True,True,,True,,,,True,,True,,True,,True,139 g/km,,,22/10/2014,,,,True,True,,True,,,,,,,True,,,,,,True,,,,,,,,,,,,,,,,
21,20900,"15:58, 3 lutego 2021",6081908747,Firmy,Osobowe,Ford,Fiesta,Mk7 (2008-),2010,128 000 km,1 242 cm3,Benzyna,82 KM,Manualna,Na przednie koła,Auta miejskie,5,5,Bordowy,,,,Tak,Używane,True,True,True,,,True,True,,True,,1.25 Titanium,Tak,,,,,True,,,,True,True,True,True,True,,,,,True,,True,True,True,,,,,,,True,,,,True,,,,,,True,,True,,True,,True,,Tak,,,,Tak,,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,38900,"15:56, 3 lutego 2021",6081908980,Firmy,Osobowe,Ford,S-Max,I (2006-2015),2010,127 031 km,1 999 cm3,Benzyna,145 KM,Manualna,Na przednie koła,Minivan,5,5,Czarny,,,,Tak,Używane,True,True,True,,True,True,True,True,True,True,,Tak,True,,True,True,True,True,,,True,True,,True,,,,,True,True,,True,True,True,True,,,,,True,True,True,,True,True,,True,,,,,,True,,True,,True,,Tak,,01/06/2010,,,Tak,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,30000,"15:56, 3 lutego 2021",6081337239,Firmy,Osobowe,Ford,Fiesta,Mk7 (2008-),2015,45 982 km,998 cm3,Benzyna,101 KM,Manualna,Na przednie koła,Kompakt,5,5,Brązowy,Tak,,Polska,Tak,Używane,True,True,True,,,,True,True,,True,,Tak,True,,,True,True,,,,,True,,,True,,,Tak,True,,,,,,,True,,,,,True,,,,True,,,,,,,,True,,,,True,,,,29/05/2015,,,,,,,,,Tak,179 PLN,True,,,,,,,,,,,,,,,,,,,,,,,,,
24,38000,"15:55, 3 lutego 2021",6053167047,Firmy,Osobowe,Ford,Focus,Mk3 (2010-),2018,80 100 km,1 596 cm3,Benzyna+LPG,86 KM,Manualna,Na przednie koła,Sedan,5,5,Inny kolor,,Tak,Polska,,Używane,True,True,True,,True,,,,True,True,,,,,,True,,,,,,,True,,True,,,Tak,True,,,,,,,True,,,,,True,,,,True,,,,,,,,True,,,,,,,,,,,Tak,True,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
25,46600,"15:55, 3 lutego 2021",6077525716,Firmy,Osobowe,Ford,Focus,Mk3 (2010-),2018,62 000 km,1 499 cm3,Diesel,95 KM,Manualna,Na przednie koła,Kompakt,5,5,Szary,,Tak,Polska,,Używane,True,True,True,,,,True,True,True,True,,Tak,,,,,,,,,,,True,,True,,,Tak,,True,,,,,True,True,,,,,,,,,True,,,,,,True,,True,,True,,,,,,,,,Tak,True,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
26,26500,"15:55, 3 lutego 2021",6081531247,Osoby prywatnej,Osobowe,Ford,Galaxy,Mk2 (2006-2015),2009,295 000 km,1 997 cm3,Diesel,140 KM,Automatyczna,Na przednie koła,Minivan,5,7,Szary,,,Belgia,Tak,Używane,True,True,True,True,True,True,True,True,True,True,2.0 TDCi Ghia,Tak,True,True,True,True,True,True,True,True,True,True,True,True,,True,,Tak,True,,,True,True,True,True,True,True,,,True,True,True,,,True,,,,,,,,True,,True,,True,196 g/km,,,,,,Tak,,True,True,True,,,,True,Tak,,True,,True,,,,,,,,,,,,,,,,,,,,
27,120900,"15:55, 3 lutego 2021",6079828674,Firmy,Osobowe,Ford,Kuga,III (2019 - ),2020,2 500 km,1 499 cm3,Benzyna,150 KM,Manualna,Na przednie koła,SUV,5,5,Czarny,,Tak,,,Używane,True,True,True,,,True,True,True,True,True,1.5 EcoBoost FWD ST-Line X,Tak,True,True,True,True,True,True,True,,True,True,True,True,True,,,,True,True,,True,True,True,True,True,True,True,True,True,True,True,,True,True,,True,True,True,True,,True,True,True,True,,True,,,,,,,,,,,True,True,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
28,3399,"15:54, 3 lutego 2021",6081025652,Firmy,Osobowe,Ford,Focus,Mk1 (1998-2004),1999,260 000 km,1 753 cm3,Diesel,90 KM,Manualna,Na przednie koła,Kompakt,5,5,Srebrny,,,,,Używane,True,,True,,,True,True,True,True,True,1.8 TDDi Ghia,Tak,True,,,,,,,,,,True,,,,,Tak,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,Tak,,15/03/1999,DSW71773,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
29,36000,"15:54, 3 lutego 2021",6081531365,Firmy,Osobowe,Ford,Focus,Mk3 (2010-),2014,76 231 km,1 596 cm3,Benzyna,182 KM,Automatyczna,,Kompakt,4,,Czarny,,,,,Używane,True,True,True,,,True,True,True,True,True,,,True,,,True,,,,,,True,True,,True,,,,True,,,,,,,,,True,,,True,,,,,,,,,,True,,,,,,,,,,,,,,,,,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
30,29999,"15:54, 3 lutego 2021",6079700664,Firmy,Osobowe,Ford,Focus,Mk3 (2010-),2012,131 000 km,1 998 cm3,Diesel,115 KM,Automatyczna,Na przednie koła,Kompakt,5,5,Czarny,,,Niemcy,,Używane,True,True,True,True,True,True,True,True,True,True,2.0 TDCi DPF,,True,True,True,True,True,True,True,,True,True,True,True,True,True,,,True,True,,,True,True,True,True,,True,True,True,True,True,,True,True,,,,True,True,True,,True,,True,,True,134 g/km,Tak,,01/01/1970,LHI6,Tak,Tak,True,True,,True,True,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
31,26500,"15:53, 3 lutego 2021",6081908511,Osoby prywatnej,Osobowe,Ford,Focus,Mk3 (2010-),2014,91 600 km,1 560 cm3,Diesel,105 KM,Manualna,Na przednie koła,Kompakt,5,5,Srebrny,,,Francja,Tak,Używane,True,True,True,True,True,True,True,True,True,True,1.6 TDCi Titanium ECOnetic,Tak,True,,True,True,,True,True,,True,True,True,,,True,,Tak,True,True,,True,True,,,,,,,,True,True,,,True,True,,,,,True,,True,,,,True,99 g/km,,,15/10/2014,PTU9608F,,,True,,True,True,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
32,59000,"15:53, 3 lutego 2021",6081900891,Osoby prywatnej,Osobowe,Ford,Fusion,,2015,99 190 km,1 999 cm3,Benzyna,240 KM,Automatyczna,Na przednie koła,Sedan,4,5,Biały,,,Stany Zjednoczone,,Używane,True,True,True,True,True,,True,True,True,True,2.0 EcoBoost Titanium,,True,True,True,True,True,,True,True,True,True,True,True,True,True,,Tak,True,True,,True,True,True,,True,True,True,,True,True,True,True,True,True,True,True,,,,True,True,True,,,,True,171 g/km,,,01/01/2015,WPR2546F,,,,,,True,,,,,,True,True,,,,,,,True,,,,,,,,,,,,,,,
33,99900,"15:53, 3 lutego 2021",6081291867,Osoby prywatnej,Osobowe,Ford,Mustang,,2015,55 000 km,4 951 cm3,Benzyna,421 KM,Manualna,Na tylne koła,Coupe,2,4,Czerwony,,,,Tak,Używane,True,True,True,True,True,True,True,True,True,True,5.0 V8 GT,Tak,True,True,,,,,True,,,True,True,,True,,,Tak,True,True,,,,,,True,True,True,,,,,,True,,,,,,,True,,,,,,,306 g/km,,,,,,,,,,True,,,,,,,True,,,,,,,,Tak,Tak,,,,,,,,,,,,,
34,29900,"15:53, 3 lutego 2021",6080408186,Firmy,Osobowe,Ford,Mondeo,Mk4 (2007-2014),2011,188 000 km,1 596 cm3,Benzyna,160 KM,Manualna,Na przednie koła,Kombi,5,5,Czarny,,,Niemcy,Tak,Używane,True,True,True,True,True,True,True,True,True,True,1.6 T Titanium,Tak,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,True,True,,True,True,True,True,True,,True,,True,True,True,,True,True,,True,,,,True,,True,,True,,True,149 g/km,Tak,,,,,Tak,True,True,,True,True,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
35,43500,"15:52, 3 lutego 2021",6081291845,Firmy,Osobowe,Ford,Transit Connect,II (2013-),2015,179 900 km,1 498 cm3,Diesel,100 KM,Manualna,Na przednie koła,Minivan,5,5,Biały,,,Niemcy,Tak,Używane,True,True,True,True,True,True,True,True,True,True,230 L2,,,,True,,,,,,,True,True,,,,,,True,,,True,,,,,,True,,True,,,,,True,,,,,,,,True,,,,True,124 g/km,Tak,,,,Tak,Tak,,True,,True,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
36,45000,"15:52, 3 lutego 2021",6081118153,Osoby prywatnej,Osobowe,Ford,Fiesta,Mk7 (2008-),2014,78 000 km,1 600 cm3,Benzyna,220 KM,Manualna,Na przednie koła,Auta małe,5,,Czarny,,Tak,Kanada,,Używane,True,,True,,True,,True,True,True,True,Mk7 (2008-),,True,,True,,,,,,True,True,True,True,True,True,,,True,True,,,,,True,True,,,,,True,,,True,,True,,,,,True,,,,,,True,,,,,,,,True,,,True,,,,,,,True,,,,,,,,,Tak,,,,,,,,,,,,,
37,66000,"15:52, 3 lutego 2021",6081908678,Firmy,Osobowe,Ford,Escape,,2018,13 000 km,1 499 cm3,Benzyna,182 KM,Automatyczna,4x4 (dołączany ręcznie),SUV,5,5,Szary,Tak,,,Tak,Używane,True,True,True,,True,True,True,True,True,True,1.5 EcoBoost AWD SE,Tak,True,,True,,,,,True,,True,True,True,True,,,Tak,,True,,,,,,,,,,,True,True,,,,True,,,,,,True,,,,,True,,Tak,,,,Tak,,,,,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
38,8900,"15:50, 3 lutego 2021",6081908584,Firmy,Osobowe,Ford,Mondeo,Mk4 (2007-2014),2006,262 100 km,1 998 cm3,Diesel,131 KM,Manualna,Na przednie koła,Kompakt,5,5,Czarny,,,Polska,Tak,Używane,True,True,True,,True,,True,True,True,True,,Tak,True,,True,True,True,,,,True,True,True,,,,,,True,True,,True,True,,True,,,,,True,True,True,,True,True,,,,,,True,,True,,,,True,,Tak,,,,,Tak,True,,True,,,,,True,,,,,True,,,,,,,,,,,,,,,,,,,,
39,19900,"15:50, 3 lutego 2021",6081908552,Firmy,Osobowe,Ford,Mondeo,Mk4 (2007-2014),2007,155 999 km,1 999 cm3,Benzyna,145 KM,Manualna,Na przednie koła,Kompakt,5,5,Zielony,,,Szwecja,,Używane,True,True,True,,True,True,True,True,True,True,2.0 Ghia,Tak,True,,True,True,,True,,,True,True,True,True,,,,,True,,,True,True,,,,,,,,True,True,,True,True,,,,,,,,True,,True,,True,189 g/km,Tak,,,,,,True,,True,True,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
40,67900,"15:49, 3 lutego 2021",6081908487,Firmy,Osobowe,Ford,EcoSport,,2018,13 600 km,998 cm3,Benzyna,125 KM,Manualna,,Auta miejskie,5,5,Czarny,,Tak,Polska,Tak,Używane,True,True,True,,,True,True,True,True,True,,Tak,True,True,True,True,True,,True,,True,True,True,True,True,,,Tak,True,,,,,,True,True,,,,True,True,,,True,,True,,,True,True,True,True,True,,,True,,,,,31/07/2018,TK7619U,Tak,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,10000,"15:48, 3 lutego 2021",6081719230,Firmy,Osobowe,Ford,Focus,Mk2 (2004-2011),2007,164 347 km,1 753 cm3,Diesel,115 KM,Manualna,Na przednie koła,Kompakt,5,5,Srebrny,Tak,,,Tak,Używane,True,True,,,,,True,True,,True,,Tak,,,,,,,,,True,True,,,,,,Tak,,,,,,,,,,True,,,,,,,True,,,,,,,,True,,,,True,,,,17/01/2007,,,,,,,True,,Tak,74 PLN,,,,,,,,,,,,,,,,,,,,,,,,,,
42,67000,"15:46, 3 lutego 2021",6080410560,Firmy,Osobowe,Ford,Mondeo,Mk5 (2014-),2018,158 443 km,1 997 cm3,Diesel,150 KM,Automatyczna,Na przednie koła,Kombi,5,5,Szary,Tak,Tak,Niemcy,Tak,Używane,True,True,True,True,True,True,True,True,True,True,2.0 TDCi Start-Stopp PowerShift-Aut,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Tak,,True,True,,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,129 g/km,,,,,,Tak,True,True,True,True,True,Tak,,,,True,True,,True,,,,True,,,,True,True,True,,,,,,,,,,
43,62700,"15:46, 3 lutego 2021",6077217940,Firmy,Osobowe,Ford,Mondeo,Mk5 (2014-),2017,165 443 km,1 997 cm3,Diesel,180 KM,Automatyczna,Na przednie koła,Kombi,5,5,Szary,Tak,Tak,Niemcy,Tak,Używane,True,True,True,True,True,True,True,True,True,True,2.0 TDCi ST-Line 4WD PowerShift,,True,True,True,True,True,True,True,,True,True,True,True,True,True,Tak,,True,True,,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,137 g/km,,,,,,Tak,True,True,True,True,True,Tak,,,,True,True,,True,,,,True,,,,True,True,True,,,,,,,,,,
44,83000,"15:46, 3 lutego 2021",6080419999,Firmy,Osobowe,Ford,Kuga,II (2012-),2018,184 545 km,1 997 cm3,Diesel,150 KM,Automatyczna,4x4 (dołączany ręcznie),SUV,5,5,Bordowy,Tak,Tak,Niemcy,Tak,Używane,True,True,True,True,True,True,True,True,True,True,2.0 TDCi AWD ST-Line,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Tak,,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,161 g/km,,,,,Tak,,True,True,True,True,,Tak,,,,True,True,,True,,,,,,,,True,True,,,,,,,,,,,
