,price,offer date,ID,Oferta od,Kategoria,Marka pojazdu,Model pojazdu,Generacja,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Napęd,Typ,Liczba drzwi,Liczba miejsc,Kolor,Możliwość finansowania,Faktura VAT,Kraj pochodzenia,Serwisowany w ASO,Stan,ABS,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Elektrochromatyczne lusterka boczne,CD,Immobilizer,Radio fabryczne,Centralny zamek,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,Wersja,Metalik,Alufelgi,Czujniki parkowania przednie,Elektryczne szyby tylne,Isofix,Podgrzewana przednia szyba,Czujnik deszczu,Czujniki parkowania tylne,Elektrycznie ustawiane fotele,Klimatyzacja automatyczna,Wielofunkcyjna kierownica,Elektryczne szyby przednie,Czujnik zmierzchu,Gniazdo USB,Nawigacja GPS,Perłowy,Zarejestrowany w Polsce,ASR (kontrola trakcji),Bluetooth,Dach panoramiczny,Kurtyny powietrzne,Podgrzewane lusterka boczne,Poduszka powietrzna chroniąca kolana,Przyciemniane szyby,Światła do jazdy dziennej,Tapicerka skórzana,Alarm,Asystent parkowania,Elektrochromatyczne lusterko wsteczne,ESP (stabilizacja toru jazdy),Klimatyzacja dwustrefowa,Łopatki zmiany biegów,Podgrzewane przednie siedzenia,Poduszki boczne przednie,System Start-Stop,Światła LED,Tempomat aktywny,Asystent pasa ruchu,Czujnik martwego pola,Gniazdo AUX,Kamera cofania,Komputer pokładowy,Podgrzewane tylne siedzenia,Poduszki boczne tylne,Szyberdach,Światła przeciwmgielne,Emisja CO2,VAT marża,Gwarancja dealerska (w cenie),Pierwsza rejestracja,Numer rejestracyjny pojazdu,Pierwszy właściciel,Bezwypadkowy,MP3,Relingi dachowe,Hak,Tempomat,Tapicerka welurowa,Leasing,Miesięczna rata,Klimatyzacja manualna,Filtr cząstek stałych,Ogranicznik prędkości,Gniazdo SD,HUD (wyświetlacz przezierny),Światła Xenonowe,Opłata początkowa,Liczba pozostałych rat,Wartość wykupu,Klimatyzacja czterostrefowa,Ogrzewanie postojowe,Uszkodzony,Tuning,Odtwarzacz DVD,Zmieniarka CD,Radio niefabryczne,Akryl (niemetalizowany),Homologacja ciężarowa,lub do (przebieg km),Regulowane zawieszenie,Tuner TV,Okres gwarancji producenta,VIN,Kierownica po prawej (Anglik),Matowy,Zarejestrowany jako zabytek
3539,34900,"19:44, 31 stycznia 2021",6073639818,Firmy,Osobowe,Ford,Grand C-MAX,,2014,189 000 km,2 000 cm3,Diesel,140 KM,Manualna,Na przednie koła,Minivan,4,7,Biały,Tak,,Niemcy,Tak,Używane,True,True,True,True,True,True,True,True,True,True,,,True,,True,True,True,True,True,True,True,True,True,True,,,,,True,True,,True,True,True,,,,True,,True,True,True,,True,True,,True,,,,,,True,,True,,True,,Tak,,18/11/2014,,Tak,Tak,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3540,34900,"19:44, 31 stycznia 2021",6073640327,Firmy,Osobowe,Ford,C-MAX,II (2010-),2014,189 000 km,1 997 cm3,Diesel,140 KM,Manualna,Na przednie koła,Minivan,5,7,Biały,Tak,,Niemcy,Tak,Używane,True,True,True,True,True,True,True,True,True,True,,,True,,True,True,True,True,True,True,True,True,True,True,,,,,True,True,,True,True,True,,,,True,,True,True,True,,True,True,,True,,,,,,True,,True,,True,139 g/km,Tak,,,,Tak,Tak,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3541,31000,"19:43, 31 stycznia 2021",6074434348,Osoby prywatnej,Osobowe,Ford,Focus,Mk3 (2010-),2015,242 000 km,1 498 cm3,Diesel,120 KM,Manualna,Na przednie koła,Kombi,5,5,Biały,,,Niemcy,,Używane,True,True,True,True,True,True,True,True,True,True,1.5 TDCi Titanium,,True,True,True,True,True,True,True,,True,True,True,True,True,True,,Tak,True,True,,True,True,True,,,,True,True,True,True,True,,,True,True,,True,,,True,,True,,True,,True,105 g/km,,,,,Tak,Tak,True,True,True,True,True,,,,Tak,,True,,,,,,,,,,True,,,,,,,,,,,,
3542,36900,"19:43, 31 stycznia 2021",6056325243,Firmy,Osobowe,Ford,Galaxy,,2012,182 500 km,1 560 cm3,Diesel,116 KM,Manualna,Na przednie koła,Minivan,5,7,Czarny,,,Niemcy,,Używane,True,True,True,True,True,True,True,True,True,True,Mk2 (2006-2015),Tak,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,Tak,True,True,,True,True,True,True,,,True,,True,True,True,,True,True,,,,,,True,,True,,True,,True,,,,03/04/2012,DSW HL 63,Tak,Tak,True,True,True,True,True,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
3543,16000,"19:42, 31 stycznia 2021",6081802778,Osoby prywatnej,Osobowe,Ford,S-Max,I (2006-2015),2007,248 000 km,1 753 cm3,Diesel,125 KM,Manualna,Na przednie koła,Minivan,5,,Srebrny,,,,,Używane,True,True,,,True,,True,True,,True,1.8 TDCi Silver X,,True,True,True,True,True,True,True,True,True,True,True,True,,True,,,True,,,,True,,,True,True,True,,True,,True,,True,,,,,,,True,,True,,,,True,,,,,,,,True,,,True,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
3544,11900,"19:42, 31 stycznia 2021",6080412064,Osoby prywatnej,Osobowe,Ford,Fusion,,2007,122 743 km,1 388 cm3,Benzyna,80 KM,Manualna,Na przednie koła,Auta miejskie,5,5,Niebieski,,,Niemcy,Tak,Używane,True,True,True,,True,True,True,True,True,True,1.4,Tak,,,,True,,,,,,True,True,,,,Tak,,,,,True,,,True,,,,,,,,,,True,,,,,,,,True,,,,True,154 g/km,Tak,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
3545,21800,"19:40, 31 stycznia 2021",6079835836,Osoby prywatnej,Osobowe,Ford,Focus,Mk3 (2010-),2011,138 640 km,1 560 cm3,Diesel,95 KM,Manualna,Na przednie koła,Kombi,5,5,Srebrny,Tak,,,,Używane,True,True,True,,True,True,True,True,True,True,1.6 TDCi Ambiente,Tak,True,,True,,,,,,,True,True,,,,,Tak,,True,,,,,True,,,True,,,,,,,,,,,,,,,True,,,,True,109 g/km,,,,,,,True,True,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
3546,8500,"19:39, 31 stycznia 2021",6080461063,Osoby prywatnej,Osobowe,Ford,Mondeo,Mk4 (2007-2014),2008,195 000 km,2 521 cm3,Benzyna+LPG,220 KM,Manualna,Na przednie koła,Kombi,5,5,Inny kolor,Tak,,Niemcy,,Używane,True,True,True,True,True,True,True,True,True,True,2.5 Titanium,,True,,True,True,True,True,,True,,True,True,True,,True,,Tak,True,True,,,,True,,,,,,True,True,True,,True,,True,,,,,True,,True,,,,,222 g/km,,,08/07/2008,,,,,,,True,,,,,,,,,,,,,,,Tak,,,,,,,,,,,,,,
3547,17800,"19:39, 31 stycznia 2021",6075645939,Firmy,Osobowe,Ford,Fiesta,Mk7 (2008-),2009,133 477 km,1 242 cm3,Benzyna,60 KM,Manualna,Na przednie koła,Kompakt,5,5,Czarny,,,Niemcy,,Używane,True,,True,,True,True,True,True,True,True,1.25 Trend,Tak,,,,True,,,,,,,True,,,,,,,,,,,True,,,,,,,True,,,,True,,,,,,,,True,,,,,,,,01/04/2009,,,Tak,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
3548,36900,"19:35, 31 stycznia 2021",6081504328,Osoby prywatnej,Osobowe,Ford,Grand C-MAX,,2016,168 000 km,1 500 cm3,Diesel,120 KM,Manualna,,Minivan,5,,Srebrny,,,Norwegia,Tak,Używane,True,True,True,,True,True,True,True,True,True,,,True,True,True,True,True,True,True,,True,True,True,True,True,,,,True,True,,True,True,,True,True,,,True,True,True,True,,True,True,True,True,True,True,True,True,,True,,,,True,,,,30/11/2016,,Tak,Tak,,True,True,True,,,,,,True,,,,,,,,,Tak,,,,,,,,,,,,,,
3549,66900,"19:35, 31 stycznia 2021",6081804490,Osoby prywatnej,Osobowe,Ford,Kuga,II (2012-),2017,70 000 km,1 499 cm3,Benzyna,182 KM,Automatyczna,4x4 (dołączany ręcznie),SUV,5,5,Czarny,,,,,Używane,True,True,True,,True,True,True,True,True,True,1.5 EcoBoost 4WD Titanium,,True,,True,True,,,True,True,,True,True,True,True,True,,,True,True,,True,True,True,True,True,True,,,True,True,True,True,True,,True,True,,,True,True,True,True,,,,True,171 g/km,,,,,,,True,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3550,37700,"19:34, 31 stycznia 2021",6081504336,Firmy,Osobowe,Ford,Fiesta,Mk8 (2017-),2018,68 000 km,1 498 cm3,Diesel,95 KM,Manualna,Na przednie koła,Auta miejskie,5,5,Biały,Tak,,Luksemburg,Tak,Używane,True,True,True,,True,True,True,True,True,True,1.5 TDCi,,True,,,True,True,True,,,,,True,True,True,True,Tak,,True,True,,True,,,,,,True,,,True,,,,,,,,,,True,,True,,,,,94 g/km,Tak,,,,,Tak,True,,,,,Tak,,True,,,True,,,,,,,,,,,,,,,,,,,,,,
3551,39900,"19:34, 31 stycznia 2021",6072320102,Firmy,Osobowe,Ford,Kuga,I (2008-2012),2011,157 000 km,1 997 cm3,Diesel,163 KM,Manualna,4x4 (stały),SUV,5,5,Czarny,Tak,,Niemcy,Tak,Używane,True,True,True,True,True,True,True,True,True,True,2.0 TDCi Titanium,,True,True,True,True,True,True,True,,True,True,True,True,,True,Tak,,True,True,,True,True,True,,True,True,,,True,True,True,,True,True,,True,,,,,True,True,,True,,True,159 g/km,Tak,,04/11/2011,,Tak,Tak,True,True,True,True,True,,,,,,,,True,,,,,True,,,True,,,,,,,,,,,,
3552,17500,"19:33, 31 stycznia 2021",6067542370,Firmy,Osobowe,Ford,Mondeo,,2009,270 000 km,2 179 cm3,Diesel,176 KM,Manualna,Na przednie koła,Kombi,5,5,Szary,Tak,,,Tak,Używane,True,True,True,,True,True,True,True,True,True,Mk4 (2007-2014),Tak,,,True,True,True,True,True,True,True,True,True,True,True,,,,True,True,,True,True,True,True,True,True,,,True,True,True,,True,True,True,,True,,,True,,True,,True,,True,,Tak,,27/05/2009,,Tak,Tak,True,True,True,True,True,Tak,,,,True,,,,,,,,,,,,,,,,,,,,,,,
3553,16555,"19:31, 31 stycznia 2021",6081504129,Osoby prywatnej,Osobowe,Ford,Capri,,1977,68 451 km,2 293 cm3,Benzyna,108 KM,Manualna,Na tylne koła,Coupe,3,4,Inny kolor,,,,,Używane,,,,,,,,,,,2.3 S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3554,4800,"19:30, 31 stycznia 2021",6077548401,Osoby prywatnej,Osobowe,Ford,C-MAX,I (2003-2010),2004,182 000 km,1 800 cm3,Benzyna,120 KM,Manualna,,Minivan,5,5,Srebrny,,,,,Używane,,,,,,,,,,,,Tak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3555,20000,"19:29, 31 stycznia 2021",6081804448,Osoby prywatnej,Osobowe,Ford,Galaxy,Mk2 (2006-2015),2006,345 000 km,1 999 cm3,Benzyna+LPG,145 KM,Manualna,Na przednie koła,Minivan,5,7,Niebieski,,,Holandia,,Używane,True,True,True,,True,True,True,True,True,True,2.0 Ghia,,True,,True,True,True,True,,True,True,True,True,,True,True,,,,True,,,,,,,,True,,True,,True,,,True,,,,,,True,,True,,True,,True,197 g/km,,,16/10/2006,,,,,True,True,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
3556,23700,"19:29, 31 stycznia 2021",6080404700,Osoby prywatnej,Osobowe,Ford,Mondeo,Mk4 (2007-2014),2012,188 556 km,1 997 cm3,Diesel,140 KM,Manualna,Na przednie koła,Kombi,5,5,Srebrny,,,,Tak,Używane,,,,,,,,,,,2.0 TDCi,Tak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129 g/km,,,14/02/2013,LBHC303,,Tak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3557,57900,"19:28, 31 stycznia 2021",6080804536,Osoby prywatnej,Osobowe,Ford,Transit Custom,,2016,136 000 km,1 996 cm3,Diesel,170 KM,Manualna,Na przednie koła,Kombi,4,3,Biały,Tak,,,Tak,Używane,True,True,True,,,,True,True,True,True,270 L1H2 LKW VA,,,True,,True,True,,True,,,True,True,,True,,,Tak,True,True,,,True,,True,True,,True,True,,,True,,,,True,,,,,True,,True,,,,True,171 g/km,,,31/08/2016,EPD7M06,,,,,,True,True,,,True,,True,,,,,,,,,,,,,,,,,,,,,,,
3558,24400,"19:28, 31 stycznia 2021",6081804449,Firmy,Osobowe,Ford,Focus,Mk3 (2010-),2012,87 500 km,999 cm3,Benzyna,125 KM,Manualna,Na przednie koła,Auta miejskie,5,5,Szary,Tak,,Austria,,Używane,True,True,True,,True,True,True,True,True,True,,Tak,True,,,,,,,,True,True,True,,,,,,True,True,,True,,,,True,,True,,,True,,,,,,,,,,True,,True,,,,True,,Tak,,,,,,True,,,,True,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
3559,26500,"19:28, 31 stycznia 2021",6078311269,Osoby prywatnej,Osobowe,Ford,Transit,VI (2006-),2011,487 000 km,2 198 cm3,Diesel,140 KM,Manualna,Na przednie koła,Minivan,5,9,Srebrny,,Tak,Polska,Tak,Używane,True,True,True,,True,True,True,True,True,True,Tourneo TDCi,,,,,,True,True,,,,True,True,True,,,,Tak,True,True,,,True,,,True,,True,,,True,True,,,,,,,,,True,,True,,,,True,,,,,,,,,,,True,,,,True,,True,,,,,,,,,,,,,,,,,,,,,,,
3560,34900,"19:27, 31 stycznia 2021",6079720441,Firmy,Osobowe,Ford,Mondeo,Mk4 (2007-2014),2012,203 000 km,1 997 cm3,Diesel,163 KM,Automatyczna,Na przednie koła,Kombi,4,5,Biały,Tak,,Niemcy,Tak,Używane,True,True,True,True,True,True,True,True,True,True,2.0 TDCi Titanium MPS6,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,True,True,,True,True,True,True,True,True,True,,True,True,True,,True,True,,True,True,True,True,,,True,,True,,True,149 g/km,Tak,,,,,Tak,True,True,,True,,,,,,,,,True,,,,,,,,True,,,,,,,,,,,,
3561,4500,"19:26, 31 stycznia 2021",6081217005,Osoby prywatnej,Osobowe,Ford,Fiesta,Mk6 (2002-2008),2005,192 900 km,1 388 cm3,Benzyna,80 KM,Manualna,Na przednie koła,Auta miejskie,,,Czerwony,,,,,Używane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3562,29900,"19:24, 31 stycznia 2021",6078516546,Firmy,Osobowe,Ford,Mondeo,Mk4 (2007-2014),2012,225 000 km,1 997 cm3,Diesel,140 KM,Manualna,Na przednie koła,Kombi,4,5,Czarny,Tak,,Niemcy,Tak,Używane,True,True,True,,True,True,True,True,True,True,,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Tak,,True,True,,True,True,True,True,True,,True,,,True,True,,True,True,,True,,,,True,,True,,True,,True,,Tak,,15/08/2012,,Tak,Tak,True,True,True,True,True,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
