,price,offer date,ID,Oferta od,Kategoria,Marka pojazdu,Model pojazdu,Wersja,Generacja,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Napęd,Typ,Liczba drzwi,Liczba miejsc,Kolor,Metalik,Kraj pochodzenia,Numer rejestracyjny pojazdu,Bezwypadkowy,Serwisowany w ASO,Stan,Klimatyzacja manualna,Emisja CO2,Zarejestrowany w Polsce,Pierwszy właściciel,ABS,Elektryczne szyby przednie,Poduszka powietrzna pasażera,Alarm,ESP (stabilizacja toru jazdy),Podgrzewana przednia szyba,Poduszki boczne przednie,Światła do jazdy dziennej,Tapicerka welurowa,CD,Immobilizer,Radio fabryczne,Bluetooth,Gniazdo AUX,Komputer pokładowy,Podgrzewane lusterka boczne,Poduszki boczne tylne,Światła LED,Tempomat,Centralny zamek,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,Czujniki parkowania tylne,Isofix,Kurtyny powietrzne,Podgrzewane przednie siedzenia,Przyciemniane szyby,Światła przeciwmgielne,Wielofunkcyjna kierownica,VAT marża,Pierwsza rejestracja,Elektrycznie ustawiane lusterka,Poduszka powietrzna chroniąca kolana,Możliwość finansowania,Faktura VAT,Asystent pasa ruchu,Czujniki parkowania przednie,Klimatyzacja automatyczna,Łopatki zmiany biegów,Alufelgi,Czujnik deszczu,Elektryczne szyby tylne,Klimatyzacja dwustrefowa,MP3,System Start-Stop,Asystent parkowania,Czujnik zmierzchu,Elektrochromatyczne lusterko wsteczne,Gniazdo USB,Kamera cofania,Filtr cząstek stałych,Perłowy,Leasing,Hak,Ogranicznik prędkości,Światła Xenonowe,Gniazdo SD,Nawigacja GPS,ASR (kontrola trakcji),Elektrochromatyczne lusterka boczne,Odtwarzacz DVD,Relingi dachowe,Gwarancja dealerska (w cenie),Elektrycznie ustawiane fotele,Czujnik martwego pola,Podgrzewane tylne siedzenia,Tempomat aktywny,Tuner TV,Tapicerka skórzana,Miesięczna rata,Dach panoramiczny,Uszkodzony,Szyberdach,lub do (przebieg km),Klimatyzacja czterostrefowa,Ogrzewanie postojowe,Zmieniarka CD,Akryl (niemetalizowany),Radio niefabryczne,Regulowane zawieszenie,HUD (wyświetlacz przezierny),Matowy,Homologacja ciężarowa,Okres gwarancji producenta,Tuning,Opłata początkowa,Liczba pozostałych rat,Wartość wykupu,Kierownica po prawej (Anglik),Zarejestrowany jako zabytek,VIN
10,55500,"15:59, 7 lutego 2021",6080652356,Firmy,Osobowe,Ford,EcoSport,1.0 EcoBoost ST-Line Black ASS,,2018,16 000 km,998 cm3,Benzyna,125 KM,Manualna,Na przednie koła,SUV,5,5,Srebrny,Tak,Francja,,Tak,Tak,Używane,,119 g/km,Tak,Tak,True,True,True,True,True,True,True,,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,Tak,,True,True,Tak,,,True,True,,True,True,,True,,True,True,,,True,,,Tak,,,,,True,True,True,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
11,36002,"15:59, 7 lutego 2021",6081467785,Firmy,Osobowe,Ford,Focus,,Mk3 (2010-),2016,138 782 km,1 498 cm3,Diesel,120 KM,Manualna,Na przednie koła,Kombi,5,5,Srebrny,Tak,Polska,,,Tak,Używane,,,Tak,Tak,True,,,,True,,True,True,,,,True,True,,True,,,,True,True,,True,,True,,,,True,True,,22/12/2016,True,,Tak,Tak,,,True,,,True,True,,,True,,True,,True,,,,Tak,,,,,,True,,,,,,,,,,,214 PLN,,,,,,,,,,,,,,,,,,,,,
12,46777,"15:58, 7 lutego 2021",6081292163,Firmy,Osobowe,Ford,S-Max,2.0 TDCi Titanium,II (2015-),2016,230 000 km,1 997 cm3,Diesel,150 KM,Manualna,Na przednie koła,Minivan,5,5,Czarny,,Niemcy,2.0- 150 KM TITANIUM 1WŁ FV23%LEASING ZA,,Tak,Używane,,117 g/km,,Tak,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,True,True,Tak,Tak,True,True,True,,True,True,True,True,True,True,True,True,True,True,,,Tak,Tak,True,True,True,True,True,True,True,,True,,True,True,,True,,True,,,,,,,,,,,,,,,,,,,,,,
13,18000,"15:58, 7 lutego 2021",6081467528,Osoby prywatnej,Osobowe,Ford,Mondeo,2.0 TDCi,Mk4 (2007-2014),2008,242 000 km,1 997 cm3,Diesel,140 KM,Automatyczna,Na przednie koła,Kombi,5,5,Czarny,,Polska,,Tak,,Używane,,147 g/km,Tak,,True,True,True,,,True,True,True,,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,,True,True,True,True,,,True,,,,,True,True,,True,True,True,True,True,,,True,,,,,,,,,True,,True,,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,7990,"15:57, 7 lutego 2021",6081719691,Firmy,Osobowe,Ford,Focus,1.8 TDCi Ambiente,Mk2 (2004-2011),2006,225 526 km,1 753 cm3,Diesel,115 KM,Manualna,Na przednie koła,Kompakt,5,5,Niebieski,Tak,Niemcy,,Tak,,Używane,True,140 g/km,Tak,,True,True,True,True,True,True,True,,,True,True,,,True,True,,True,,,True,True,True,,,,,True,,True,,,True,,,,,,True,,True,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,48900,"15:57, 7 lutego 2021",6079210189,Firmy,Osobowe,Ford,Focus,1.5 TDCi Titanium,Mk3 (2010-),2015,121 330 km,1 498 cm3,Diesel,120 KM,Manualna,,Kompakt,5,5,Niebieski,,Polska,,Tak,Tak,Używane,,,Tak,Tak,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,,,True,True,,19/01/2016,True,,Tak,Tak,,True,True,,True,True,True,True,True,True,True,True,True,True,,,,Tak,,,True,,True,True,,,,12 miesięcy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,55700,"15:57, 7 lutego 2021",6079209553,Firmy,Osobowe,Ford,Mondeo,2.0 TDCi Gold Edition,Mk5 (2014-),2016,167 388 km,1 997 cm3,Diesel,150 KM,Manualna,Na przednie koła,Sedan,5,5,Czarny,Tak,Polska,,,Tak,Używane,,117 g/km,Tak,Tak,True,True,True,True,True,,True,True,,True,True,True,True,True,True,,,,,True,True,True,True,True,True,,,True,True,,22/08/2016,True,,Tak,Tak,,True,True,,True,,True,True,True,True,True,True,True,True,,,,Tak,,,,,,True,,,,12 miesięcy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,61500,"15:57, 7 lutego 2021",6077337518,Osoby prywatnej,Osobowe,Ford,Escape,1.5 EcoBoost AWD SE,,2018,102 000 km,1 499 cm3,Benzyna,182 KM,Automatyczna,4x4 (dołączany ręcznie),SUV,5,5,Biały,Tak,,,,,Używane,,,Tak,,True,True,True,,True,,True,True,,True,True,True,True,True,True,,,True,,True,True,True,,True,True,True,True,True,True,,,True,True,Tak,,True,,,,True,True,True,True,,,True,True,True,True,True,,Tak,,True,,,,True,True,True,,True,,True,True,,True,,True,,True,,,,,,,,,,,,,,,,,,,,
18,89999,"15:56, 7 lutego 2021",6080383414,Firmy,Osobowe,Ford,Mustang,,,2020,10 238 km,4 951 cm3,Benzyna,460 KM,Automatyczna,Na tylne koła,Coupe,3,4,Biały,,Stany Zjednoczone,,,,Używane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tak,,,,,,,,,,,,,,,,,,,
19,99900,"15:56, 7 lutego 2021",6081632587,Firmy,Osobowe,Ford,Puma,1.0 EcoBoost mHEV ST-Line X,,2019,2 450 km,999 cm3,Benzyna,155 KM,Manualna,Na przednie koła,SUV,5,5,Biały,Tak,,WK73571,Tak,Tak,Używane,,,Tak,Tak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tak,Tak,,,,,,,,,,,,,,,,,,Tak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
