,price,offer date,ID,Oferta od,Kategoria,Marka pojazdu,Model pojazdu,Wersja,Generacja,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Napęd,Emisja CO2,Filtr cząstek stałych,Typ,Liczba drzwi,Liczba miejsc,Kolor,Akryl (niemetalizowany),Zarejestrowany w Polsce,Stan,ABS,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,Bluetooth,Czujniki parkowania tylne,Gniazdo AUX,Klimatyzacja dwustrefowa,Podgrzewane lusterka boczne,Przyciemniane szyby,Światła LED,Tapicerka skórzana,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alufelgi,Czujnik deszczu,Elektrochromatyczne lusterko wsteczne,Isofix,Komputer pokładowy,Podgrzewane przednie siedzenia,Relingi dachowe,Światła przeciwmgielne,Tempomat,Centralny zamek,Immobilizer,Radio fabryczne,ASR (kontrola trakcji),Czujnik zmierzchu,Elektryczne szyby tylne,Klimatyzacja automatyczna,Kurtyny powietrzne,Poduszki boczne przednie,Światła do jazdy dziennej,Światła Xenonowe,Wielofunkcyjna kierownica,Metalik,Perłowy,Możliwość finansowania,Bezwypadkowy,Serwisowany w ASO,Elektrochromatyczne lusterka boczne,ESP (stabilizacja toru jazdy),Hak,Alarm,Tapicerka welurowa,Gniazdo USB,Pierwszy właściciel,Klimatyzacja manualna,MP3,Poduszki boczne tylne,VAT marża,Kraj pochodzenia,Gniazdo SD,Ogrzewanie postojowe,Poduszka powietrzna chroniąca kolana,Asystent parkowania,Kamera cofania,Nawigacja GPS,Podgrzewana przednia szyba,Czujniki parkowania przednie,Odtwarzacz DVD,System Start-Stop,Faktura VAT,Leasing,Pierwsza rejestracja,Numer rejestracyjny pojazdu,Ogranicznik prędkości,Asystent pasa ruchu,Czujnik martwego pola,lub do (przebieg km),Gwarancja dealerska (w cenie),Tuner TV,Dach panoramiczny,Szyberdach,Uszkodzony,Elektrycznie ustawiane fotele,Homologacja ciężarowa,Radio niefabryczne,Klimatyzacja czterostrefowa,Regulowane zawieszenie,Tempomat aktywny,Miesięczna rata,Podgrzewane tylne siedzenia,Łopatki zmiany biegów,Okres gwarancji producenta,Zmieniarka CD,Zarejestrowany jako zabytek,HUD (wyświetlacz przezierny),Kierownica po prawej (Anglik),Tuning,Opłata początkowa,Liczba pozostałych rat,Wartość wykupu,VIN,Matowy,Warranty if agreed with the buyer
10,1650,"18:02, 9 lutego 2021",6082171059,Osoby prywatnej,Osobowe,Opel,Astra,1.4 Base,F (1991-2002),1999,300 000 km,1 389 cm3,Benzyna+LPG,60 KM,Manualna,Na przednie koła,,,Kompakt,5,5,Niebieski,,,Używane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/03/1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,16900,"18:01, 9 lutego 2021",6082171693,Osoby prywatnej,Osobowe,Opel,Astra,1.9 CDTI DPF,G (1998-2009),2008,223 000 km,1 910 cm3,Diesel,150 KM,Manualna,Na przednie koła,154 g/km,Tak,Kompakt,5,5,Niebieski,,,Używane,True,True,True,True,True,True,True,,True,True,,True,True,True,True,True,True,True,,True,,True,,True,True,True,True,True,True,True,True,True,True,,True,True,,Tak,,,,True,True,,True,,True,,,,True,Tak,,,,True,,,True,,,,,,,,FZG48994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,27000,"18:01, 9 lutego 2021",6078236564,Firmy,Osobowe,Opel,Corsa,1.4 Enjoy,E (2014-2019),2016,112 200 km,1 398 cm3,Benzyna,90 KM,Manualna,Na przednie koła,,,Auta miejskie,5,5,Czarny,,Tak,Używane,True,True,True,True,,,True,,,,,,True,True,True,,,,True,True,,,,,True,True,True,True,,,,,True,True,,,Tak,,,,Tak,,True,,,,,Tak,True,True,,Tak,Polska,,,,,,,,,,,,,22/04/2016,WF2818M,,,,10 000 km,12 miesięcy,,,,,,,,,,,,,,,,,,,,,,,,,
13,25400,"18:01, 9 lutego 2021",6077010150,Firmy,Osobowe,Opel,Meriva,1.4 T Cosmo,II (2010-),2010,164 000 km,1 364 cm3,Benzyna,140 KM,Manualna,Na przednie koła,151 g/km,,Minivan,5,5,Czarny,,Tak,Używane,True,True,True,True,True,True,True,,True,,,,True,True,True,True,True,True,True,True,,,True,True,True,True,True,True,True,True,,True,True,,,True,Tak,,Tak,,Tak,True,True,,True,True,True,Tak,True,True,True,Tak,Niemcy,True,,True,,,,,True,,,,Tak,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,20500,"18:01, 9 lutego 2021",6081471277,Osoby prywatnej,Osobowe,Opel,Astra,,J (2009-2015),2011,121 000 km,1 248 cm3,Diesel,95 KM,Manualna,Na przednie koła,,,Kompakt,5,5,Czarny,,,Używane,True,True,True,True,True,True,,,True,True,,,True,True,True,True,True,,True,True,,,True,True,True,True,True,True,True,,,True,,True,,True,Tak,,Tak,Tak,,,True,,,,,,True,,True,Tak,Belgia,,,True,,,,,,,True,,,,AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,23700,"18:00, 9 lutego 2021",6081791292,Osoby prywatnej,Osobowe,Opel,Astra,IV 1.7 CDTI Edition 150,J (2009-2015),2012,214 000 km,1 686 cm3,Diesel,110 KM,Manualna,Na przednie koła,124 g/km,,Kombi,5,5,Srebrny,,Tak,Używane,True,True,True,True,True,True,True,True,True,True,,,True,True,True,True,,,True,True,,True,True,True,True,True,True,True,,True,True,True,True,True,,True,Tak,,,Tak,Tak,,True,True,True,True,True,,,True,,Tak,Niemcy,True,,,True,,True,,True,,,,,01/04/2012,WPR7520R,,,,214 315 km,,True,,,,,,,,,,,,,,,,,,,,,,,,
16,14400,"18:00, 9 lutego 2021",6081338166,Osoby prywatnej,Osobowe,Opel,Corsa,1.3 CDTI DPF EcoFLEX,D (2006-2014),2010,246 628 km,1 248 cm3,Diesel,75 KM,Manualna,Na przednie koła,112 g/km,,Auta miejskie,5,5,Srebrny,,Tak,Używane,True,,True,True,,,,,,,,,True,True,True,,,,True,,,,True,,True,True,True,,,,,,,,,True,Tak,,,Tak,,,,,True,True,,,True,True,True,,Niemcy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,33500,"17:59, 9 lutego 2021",6081537303,Osoby prywatnej,Osobowe,Opel,Astra,GTC 1.6 Turbo,J (2009-2015),2012,105 255 km,1 598 cm3,Benzyna,179 KM,Manualna,Na przednie koła,168 g/km,,Coupe,3,5,Czerwony,,,Używane,True,True,True,True,,,,True,,,True,True,True,True,True,True,,True,True,True,True,,True,True,True,True,True,True,True,,True,True,,True,True,True,Tak,,,Tak,Tak,,True,,True,,,,,,,Tak,,,,,,,,,,,,Tak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,22999,"17:59, 9 lutego 2021",6080792046,Osoby prywatnej,Osobowe,Opel,Corsa,1.2 16V Cosmo,D (2006-2014),2012,75 800 km,1 229 cm3,Benzyna,85 KM,Manualna,Na przednie koła,124 g/km,,Auta miejskie,5,5,Inny kolor,,,Używane,True,True,True,True,,,True,,True,,,True,True,True,True,True,,True,True,True,,,True,,True,True,True,True,,,True,True,True,True,,True,Tak,Tak,Tak,Tak,Tak,,True,,,True,,,True,,True,Tak,Niemcy,,,,,,,,,,,,,,BE R 345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,43900,"17:59, 9 lutego 2021",6079842215,Osoby prywatnej,Osobowe,Opel,Mokka,1.6 CDTI Enjoy S&S,,2015,41 000 km,1 598 cm3,Diesel,136 KM,Manualna,Na przednie koła,114 g/km,,SUV,5,5,Brązowy,,Tak,Używane,True,True,True,True,True,True,True,,,,,,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,,True,,Tak,,,,,True,,,,,Tak,True,True,,,,,,,,,,,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
