,price,offer date,ID,Oferta od,Kategoria,Marka pojazdu,Model pojazdu,Wersja,Generacja,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Napęd,Emisja CO2,Typ,Liczba drzwi,Liczba miejsc,Kolor,Perłowy,Kraj pochodzenia,Pierwsza rejestracja,Zarejestrowany w Polsce,Pierwszy właściciel,Bezwypadkowy,Serwisowany w ASO,Stan,ABS,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alarm,Asystent parkowania,Czujnik deszczu,Czujniki parkowania przednie,Elektryczne szyby tylne,Gniazdo AUX,Isofix,Klimatyzacja dwustrefowa,MP3,Podgrzewane przednie siedzenia,Poduszki boczne tylne,System Start-Stop,Światła przeciwmgielne,Tempomat aktywny,Centralny zamek,Immobilizer,Radio fabryczne,Alufelgi,Asystent pasa ruchu,Czujnik martwego pola,Czujniki parkowania tylne,Elektrycznie ustawiane fotele,Gniazdo SD,Kamera cofania,Komputer pokładowy,Nawigacja GPS,Poduszka powietrzna chroniąca kolana,Przyciemniane szyby,Światła do jazdy dziennej,Tapicerka skórzana,Wielofunkcyjna kierownica,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,ASR (kontrola trakcji),Bluetooth,Czujnik zmierzchu,Elektrochromatyczne lusterko wsteczne,ESP (stabilizacja toru jazdy),Gniazdo USB,Klimatyzacja automatyczna,Kurtyny powietrzne,Podgrzewane lusterka boczne,Poduszki boczne przednie,Relingi dachowe,Światła LED,Tempomat,Metalik,Możliwość finansowania,CD,Tapicerka welurowa,Hak,Podgrzewana przednia szyba,Zmieniarka CD,HUD (wyświetlacz przezierny),Ogranicznik prędkości,Odtwarzacz DVD,Faktura VAT,VAT marża,Łopatki zmiany biegów,Elektrochromatyczne lusterka boczne,Światła Xenonowe,Klimatyzacja manualna,Numer rejestracyjny pojazdu,Leasing,Miesięczna rata,Okres gwarancji producenta,Gwarancja dealerska (w cenie),Szyberdach,Klimatyzacja czterostrefowa,Dach panoramiczny,lub do (przebieg km),Tuner TV,Akryl (niemetalizowany),Regulowane zawieszenie,Filtr cząstek stałych,Radio niefabryczne,Matowy,Uszkodzony,Ogrzewanie postojowe,Opłata początkowa,Liczba pozostałych rat,Wartość wykupu,Tuning,Homologacja ciężarowa,Podgrzewane tylne siedzenia,Zarejestrowany jako zabytek,Kierownica po prawej (Anglik),VIN,Warranty if agreed with the buyer
10,51000,"12:25, 7 lutego 2021",6081618027,Firmy,Osobowe,Toyota,Yaris,,III (2011-),2017,28 081 km,1 497 cm3,Benzyna,111 KM,Manualna,Na przednie koła,,Kompakt,5,5,Biały,,Polska,28/11/2017,Tak,Tak,,Tak,Używane,True,True,,True,,True,True,True,,True,,,,,,True,,True,,True,True,True,,,,,True,True,,,True,True,,True,,,True,True,True,True,,True,True,True,,,True,,,True,Tak,Tak,,,,,,,,,,,,,,,,Tak,304 PLN,,,,,,,,,,,,,,,,,,,,,,,,
11,51900,"12:21, 7 lutego 2021",6082095227,Osoby prywatnej,Osobowe,Toyota,Avensis,2.0 D-4D Premium,III (2009-),2015,143 200 km,1 995 cm3,Diesel,143 KM,Manualna,Na przednie koła,120 g/km,Kombi,5,5,Brązowy,Tak,Polska,08/12/2015,Tak,Tak,Tak,Tak,Używane,True,True,True,True,,True,,True,True,,True,,,,,True,True,True,True,True,True,,,,,,True,True,True,,True,True,,True,True,True,True,True,True,True,,True,True,True,True,True,True,,True,True,Tak,,True,,,True,,,,True,,,,True,,,WBR2H19,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21900,"12:21, 7 lutego 2021",6081357200,Firmy,Osobowe,Toyota,RAV4,1.8 VVT-i 4x2,II (2000-2005),2005,185 000 km,1 794 cm3,Benzyna,125 KM,Manualna,,,SUV,3,5,Srebrny,,,,,Tak,Tak,,Używane,True,True,True,,,,,,,True,,,,,,True,,True,True,True,True,,,,,,,True,,,True,,,,True,True,True,True,,,,,,,,,,True,,,Tak,,,True,,,,,,,,Tak,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,72000,"12:15, 7 lutego 2021",6081617355,Firmy,Osobowe,Toyota,Avensis,,III (2009-),2017,55 249 km,1 987 cm3,Benzyna,152 KM,Automatyczna,Na przednie koła,,Sedan,4,5,Złoty,,Polska,09/03/2017,Tak,Tak,Tak,Tak,Używane,True,True,,,,True,,True,,True,,,True,,True,True,,True,,True,True,True,,,,,True,True,True,,True,True,,True,,,True,True,True,True,,True,True,True,,,True,,True,True,Tak,Tak,,,,True,,,,,Tak,,,,,,,Tak,429 PLN,,,,,,,,,,,,,,,,,,,,,,,,
14,13900,"12:12, 7 lutego 2021",6082093586,Osoby prywatnej,Osobowe,Toyota,Yaris,1.3 VVT-i,II (2005-2011),2007,132 057 km,1 298 cm3,Benzyna,87 KM,Manualna,Na przednie koła,141 g/km,Auta miejskie,5,5,Srebrny,,,18/05/2007,Tak,,,,Używane,True,True,True,,,,,,,,,,,,,True,,True,True,True,,,,,,,,,,,,,,,True,True,True,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,71900,"12:05, 7 lutego 2021",6080374270,Firmy,Osobowe,Toyota,Auris,,II (2012-),2018,65 840 km,1 798 cm3,Hybryda,135 KM,Automatyczna,Na przednie koła,,Kompakt,5,5,Brązowy,,Polska,05/09/2018,Tak,Tak,,Tak,Używane,True,True,True,,,,,True,True,True,,True,,,,True,,True,True,True,True,True,,,,,True,True,,True,,True,,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,,,Tak,Tak,True,,,,,,,,Tak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,32900,"11:50, 7 lutego 2021",6081818599,Osoby prywatnej,Osobowe,Toyota,Aygo,1.0 VVT-i Selection X-cite EU6,II (2014-),2017,30 500 km,998 cm3,Benzyna,69 KM,Manualna,Na przednie koła,95 g/km,Auta małe,5,4,Czerwony,,Polska,09/02/2018,Tak,Tak,Tak,Tak,Używane,True,True,True,,,,,,True,True,,True,,True,,True,,True,True,True,,,,True,,,True,True,,,True,True,,True,True,True,True,True,True,True,,True,True,,True,True,True,,True,,Tak,,,True,,,,,True,,Tak,,,,,True,ERAPJ85,,,,,,,,,,,,,,,,,,,,,,,,,,
17,39990,"11:40, 7 lutego 2021",6078479351,Osoby prywatnej,Osobowe,Toyota,Yaris,1.5 Active,III (2011-),2017,62 120 km,1 496 cm3,Benzyna,111 KM,Manualna,Na przednie koła,109 g/km,Auta miejskie,5,5,Czerwony,,Polska,,Tak,Tak,Tak,Tak,Używane,True,True,True,True,,True,,,True,True,,,,,,,,True,True,True,,True,,,,,,True,,,,True,,,True,True,True,,True,,,True,True,,,,,,,,,Tak,True,,,,,,,,Tak,,,,,True,,Tak,,01/10/2021,10 miesięcy,,,,,,,,,,,,,,,,,,,,,,
18,64000,"11:36, 7 lutego 2021",6081614986,Firmy,Osobowe,Toyota,Auris,,II (2012-),2018,22 804 km,1 798 cm3,Hybryda,136 KM,Automatyczna,Na przednie koła,,Kompakt,5,5,Biały,,Polska,28/08/2018,Tak,Tak,Tak,Tak,Używane,True,True,,,,,,,,True,,,,,,,,True,,True,True,,,,,,,True,,True,,True,,True,,,True,True,True,,,True,True,True,,,True,,,,,Tak,,,,,,,,,Tak,,,,,,SK584NP,Tak,329 PLN,,,,,,,,,,,,,,,,,,,,,,,,
19,8600,"11:14, 7 lutego 2021",6081356568,Osoby prywatnej,Osobowe,Toyota,Aygo,1.0 VVT-i Luna A/C,I (2005-2014),2006,193 592 km,998 cm3,Benzyna,68 KM,Manualna,Na przednie koła,109 g/km,Auta małe,5,4,Niebieski,,Polska,10/02/2006,Tak,Tak,Tak,Tak,Używane,True,True,True,,,True,,,,,,,,,,,,True,,True,,,,,,,,,,,,,,,True,True,True,,,,,,,,True,,,,,,Tak,,True,,,,,,,,,,,,,True,EWI78HV,,,,,,,,,,,,,,,,,,,,,,,,,,
