,price,offer date,ID,Oferta od,Kategoria,Marka pojazdu,Model pojazdu,Generacja,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Napęd,Typ,Liczba miejsc,Kolor,Metalik,Perłowy,Kraj pochodzenia,Pierwsza rejestracja,Bezwypadkowy,Stan,ABS,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,Czujnik deszczu,Elektrochromatyczne lusterko wsteczne,Gniazdo AUX,Klimatyzacja dwustrefowa,Kurtyny powietrzne,Podgrzewane przednie siedzenia,Relingi dachowe,Światła Xenonowe,Wielofunkcyjna kierownica,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alarm,Czujnik zmierzchu,Elektryczne szyby tylne,Hak,Klimatyzacja manualna,Ogranicznik prędkości,Poduszki boczne przednie,Światła do jazdy dziennej,Tapicerka welurowa,Centralny zamek,Immobilizer,Radio fabryczne,ASR (kontrola trakcji),Elektrochromatyczne lusterka boczne,ESP (stabilizacja toru jazdy),Klimatyzacja automatyczna,Komputer pokładowy,Podgrzewane lusterka boczne,Przyciemniane szyby,Światła przeciwmgielne,Tempomat,Liczba drzwi,Możliwość finansowania,Faktura VAT,Leasing,Akryl (niemetalizowany),Serwisowany w ASO,Czujniki parkowania przednie,Isofix,Nawigacja GPS,Bluetooth,Czujniki parkowania tylne,Elektrycznie ustawiane fotele,Gniazdo SD,Odtwarzacz DVD,Poduszki boczne tylne,Światła LED,Tapicerka skórzana,Zmieniarka CD,Alufelgi,HUD (wyświetlacz przezierny),MP3,Podgrzewana przednia szyba,Poduszka powietrzna chroniąca kolana,Wersja,Emisja CO2,Gniazdo USB,System Start-Stop,Filtr cząstek stałych,Uszkodzony,Numer rejestracyjny pojazdu,Zarejestrowany w Polsce,Pierwszy właściciel,Dach panoramiczny,Kamera cofania,Asystent parkowania,Czujnik martwego pola,Szyberdach,Klimatyzacja czterostrefowa,Łopatki zmiany biegów,VAT marża,Gwarancja dealerska (w cenie),Asystent pasa ruchu,Regulowane zawieszenie,Radio niefabryczne,Tempomat aktywny,Tuning,Podgrzewane tylne siedzenia,lub do (przebieg km),Ogrzewanie postojowe,Tuner TV,Okres gwarancji producenta,Miesięczna rata,Opłata początkowa,Liczba pozostałych rat,Homologacja ciężarowa,Kierownica po prawej (Anglik),Wartość wykupu,Matowy,VIN,Zarejestrowany jako zabytek,
10,142900,"16:26, 6 stycznia 2021",6079275989,Osoby prywatnej,Osobowe,Audi,A4,B9 (2015-),2019,2 961 km,1 984 cm3,Benzyna,252 KM,Automatyczna,4x4 (stały),Sedan,5,Szary,Tak,,Kanada,,,Używane,True,True,True,True,True,True,True,,True,True,,,True,True,True,True,True,True,True,,,,,,,True,True,True,True,True,True,True,True,True,True,True,True,4,,,,,,True,True,True,True,True,True,True,,,True,True,,True,True,True,,True,2.0 TFSI quattro S tronic,142 g/km,True,True,,,,Tak,,,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,
11,41999,"16:23, 6 stycznia 2021",6080985043,Osoby prywatnej,Osobowe,Audi,A4,B8 (2007-2015),2012,218 000 km,1 968 cm3,Diesel,143 KM,Automatyczna,Na przednie koła,Kombi,5,Czarny,Tak,,Niemcy,,Tak,Używane,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,,,,True,True,True,True,True,True,,,True,True,True,True,,True,True,5,Tak,,,,Tak,True,True,True,True,True,,True,,,True,,,True,,True,,True,,,True,True,,,,,Tak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,27900,"16:13, 6 stycznia 2021",6081098939,Osoby prywatnej,Osobowe,Audi,A4,B8 (2007-2015),2008,235 152 km,1 968 cm3,Diesel,143 KM,Manualna,Na przednie koła,Sedan,5,Czarny,Tak,,,,,Używane,True,True,True,True,True,,True,,,,,,True,True,True,True,True,True,True,,,True,,,,True,,True,True,,True,True,True,,True,True,True,5,,,,,,,,True,,True,,,,,,,True,True,,True,,,2.0 TDI,149 g/km,,,Tak,,,Tak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,41900,"16:11, 6 stycznia 2021",6079738475,Osoby prywatnej,Osobowe,Audi,A4,B8 (2007-2015),2011,197 000 km,1 984 cm3,Benzyna,211 KM,Automatyczna,4x4 (stały),Sedan,5,Biały,Tak,,Stany Zjednoczone,,Tak,Używane,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,True,True,True,,True,True,True,True,,True,True,True,True,True,True,True,4,Tak,,,,Tak,,True,True,True,True,True,True,,True,True,True,,True,,True,,True,2.0 TFSI Quattro Prime Line S tronic,175 g/km,True,,,,,Tak,,,True,,,True,,,Tak,,,,,,,,,,,,,,,,,,,,,
14,30900,"16:02, 6 stycznia 2021",6080791363,Firmy,Osobowe,Audi,A4,B8 (2007-2015),2009,198 800 km,1 968 cm3,Diesel,140 KM,Manualna,Na przednie koła,Kombi,5,Srebrny,Tak,,Belgia,22/09/2009,,Używane,True,True,True,True,True,True,,True,True,,True,True,True,True,True,True,True,True,True,,,,True,True,,True,True,True,True,True,True,,True,,True,True,True,5,,,,,Tak,True,True,,True,True,,,,True,,,True,True,,True,,True,Avant 2.0 TDI,156 g/km,True,,,,,,,,,,,,,,Tak,12 miesięcy,,,,,,,,,,,,,,,,,,,,
15,169845,"16:00, 6 stycznia 2021",6071592115,Firmy,Osobowe,Audi,A4,B9 (2015-),2020,20 km,1 968 cm3,Diesel,190 KM,Automatyczna,Na przednie koła,Kombi,5,Szary,Tak,,,,Tak,Nowe,True,True,True,True,True,,True,True,,True,True,,,True,True,True,True,,True,,,,,,,True,True,True,,,,True,True,,True,,True,4,Tak,Tak,Tak,,,True,True,,True,True,,,,,True,,,True,,True,,,40 TDI Sport S tronic,114 g/km,True,,,,,,,,True,True,,,,,,,True,,,,,,,,,,,,,,,,,,,
16,38900,"15:58, 6 stycznia 2021",6081098726,Osoby prywatnej,Osobowe,Audi,A4,B8 (2007-2015),2009,305 000 km,1 968 cm3,Diesel,170 KM,Automatyczna,Na przednie koła,Sedan,5,Szary,,,Szwecja,31/07/2008,,Używane,True,True,,,,,True,True,,True,,True,,,True,,,,True,,,,True,,,True,True,,,,True,True,,True,True,,True,5,,,,,,,,,,,,,,True,,,,True,,,True,,,,,,,,NE0859F,Tak,Tak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,16900,"15:46, 6 stycznia 2021",6081098635,Osoby prywatnej,Osobowe,Audi,A4,B7 (2004-2007),2006,314 000 km,1 968 cm3,Diesel,140 KM,Automatyczna,Na przednie koła,Sedan,5,Czarny,Tak,,,,Tak,Używane,True,True,True,True,True,True,True,True,True,True,,True,,True,True,True,True,True,,,,,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,4,,,,,Tak,True,True,True,True,True,,True,True,True,,,,True,,True,True,,2.0 TDI Multitronic,167 g/km,,,Tak,,,Tak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,23400,"15:40, 6 stycznia 2021",6081098582,Osoby prywatnej,Osobowe,Audi,A4,B7 (2004-2007),2006,238 464 km,1 968 cm3,Diesel,170 KM,Manualna,Na przednie koła,Kombi,5,Czarny,Tak,,Niemcy,,,Używane,True,True,True,True,,,True,True,True,,True,,,True,True,True,True,,True,,,,True,,,True,True,True,,,True,True,True,,,True,,5,,,,,,,True,,,,True,True,,True,,True,,True,,,,,Avant 2.0 TDI DPF,144 g/km,True,,Tak,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,
19,59000,"15:39, 6 stycznia 2021",6081098526,Osoby prywatnej,Osobowe,Audi,A4,B8 (2007-2015),2012,355 000 km,2 967 cm3,Diesel,204 KM,Automatyczna,Na przednie koła,Kombi,5,Czarny,Tak,,,10/01/2013,,Używane,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,,,True,True,,True,True,True,True,,True,,True,True,True,True,True,5,,,,,,True,,True,True,True,,True,True,True,True,True,,True,,True,,True,3.0 TDI Multitronic,135 g/km,,True,,,RMI77699,,,,,True,,,,True,,,,,,,,,,,,,,,,,,,,,,
