,price,offer date,ID,Oferta od,Kategoria,Marka pojazdu,Model pojazdu,Wersja,Generacja,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Napęd,Typ,Liczba drzwi,Liczba miejsc,Kolor,Metalik,Pierwsza rejestracja,Numer rejestracyjny pojazdu,Zarejestrowany w Polsce,Stan,ABS,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,ASR (kontrola trakcji),Elektrochromatyczne lusterko wsteczne,Hak,Komputer pokładowy,Podgrzewane przednie siedzenia,Światła przeciwmgielne,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alarm,Czujnik deszczu,Elektryczne szyby tylne,Isofix,Kurtyny powietrzne,Poduszki boczne tylne,Wielofunkcyjna kierownica,Centralny zamek,Immobilizer,Radio fabryczne,Alufelgi,Czujnik zmierzchu,ESP (stabilizacja toru jazdy),Klimatyzacja automatyczna,Podgrzewane lusterka boczne,Relingi dachowe,Emisja CO2,Pierwszy właściciel,Bezwypadkowy,Gniazdo AUX,Ogranicznik prędkości,Poduszki boczne przednie,Światła LED,Bluetooth,Czujniki parkowania przednie,Gniazdo USB,Klimatyzacja dwustrefowa,MP3,System Start-Stop,Czujniki parkowania tylne,Nawigacja GPS,Poduszka powietrzna chroniąca kolana,Przyciemniane szyby,Światła do jazdy dziennej,Tempomat,Kraj pochodzenia,Klimatyzacja manualna,VAT marża,Możliwość finansowania,Serwisowany w ASO,Elektrochromatyczne lusterka boczne,Elektrycznie ustawiane fotele,Gniazdo SD,Tapicerka skórzana,Światła Xenonowe,Akryl (niemetalizowany),Odtwarzacz DVD,Radio niefabryczne,Tapicerka welurowa,VIN,Perłowy,Kamera cofania,Leasing,Dach panoramiczny,HUD (wyświetlacz przezierny),Asystent parkowania,Regulowane zawieszenie,Szyberdach,Zmieniarka CD,Asystent pasa ruchu,Czujnik martwego pola,Podgrzewana przednia szyba,Podgrzewane tylne siedzenia,Tempomat aktywny,Faktura VAT,Uszkodzony,Łopatki zmiany biegów,Gwarancja dealerska (w cenie),Tuning,Okres gwarancji producenta,Klimatyzacja czterostrefowa,lub do (przebieg km),Miesięczna rata,Filtr cząstek stałych,Tuner TV,Ogrzewanie postojowe,Homologacja ciężarowa,Matowy,Zarejestrowany jako zabytek,Opłata początkowa,Liczba pozostałych rat,Wartość wykupu,Kierownica po prawej (Anglik),Warranty if agreed with the buyer,
10,79900,"16:04, 7 lutego 2021",6081292420,Firmy,Osobowe,Renault,Talisman,1.6 Energy TCe Zen EDC,,2018,37 000 km,1 618 cm3,Benzyna,150 KM,Automatyczna,Na przednie koła,Kombi,5,5,Niebieski,,26/11/2018,WE909UU,Tak,Używane,True,True,True,True,True,,,True,,True,,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,,True,127 g/km,Tak,Tak,,True,True,,True,True,True,True,,True,True,True,,,True,True,Polska,,,Tak,Tak,,,,,,,,,,,,True,Tak,,,,,,,True,,,,,Tak,,,,,,,,,,,,,,,,,,,,
11,32900,"16:03, 7 lutego 2021",6078275321,Firmy,Osobowe,Renault,Megane,ENERGY TCe 130,IV (2016-),2017,46 000 km,1 197 cm3,Benzyna,132 KM,Manualna,Na przednie koła,Kompakt,5,5,Czarny,,,FRANCJA,,Używane,True,True,True,True,True,True,True,True,,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,120 g/km,,,,True,True,True,True,True,True,True,True,,True,True,True,,True,True,,,Tak,,,True,,,,,,,,True,,,True,,,,True,,,,,,,,,,Tak,,,,,,,,,,,,,,,,,,,
12,144000,"16:02, 7 lutego 2021",6080941559,Firmy,Osobowe,Renault,Megane,1.8 TCe FAP R.S Trophy EDC,IV (2016-),2019,23 455 km,1 798 cm3,Benzyna,300 KM,Automatyczna,Na przednie koła,Kompakt,5,5,Biały,,28/11/2019,WW0791Y,Tak,Używane,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,,,Tak,Tak,True,,,True,True,True,True,True,True,,True,True,,True,True,True,Polska,,,,Tak,True,,True,True,True,,,,,,,,,,True,,,,,True,True,,,,Tak,,True,,,,,,,,,,,,,,,,,,
13,16900,"16:02, 7 lutego 2021",6081606772,Osoby prywatnej,Osobowe,Renault,Clio,,III (2005-2012),2010,126 000 km,1 149 cm3,Benzyna,75 KM,Manualna,Na przednie koła,Auta miejskie,5,5,Czarny,Tak,,,,Używane,True,True,True,True,,,,,True,,,,True,,,True,,,,True,True,True,True,,,,,,,,,Tak,,,,,,,,,,,,,,,,,Niemcy,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,54900,"16:01, 7 lutego 2021",6078896310,Firmy,Osobowe,Renault,Megane,1.5 Blue dCi Life,IV (2016-),2019,30 000 km,1 461 cm3,Diesel,95 KM,Manualna,Na przednie koła,Kombi,5,5,Biały,,28/03/2019,,Tak,Używane,True,True,True,True,True,,,True,,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,,True,,Tak,,True,,True,True,True,,True,True,True,True,True,True,,,True,True,,,Tak,Tak,Tak,,,True,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,45900,"16:01, 7 lutego 2021",6070876446,Firmy,Osobowe,Renault,Fluence,1.6 16V Limited,,2016,89 000 km,1 598 cm3,Benzyna,114 KM,Manualna,Na przednie koła,Sedan,4,5,Bordowy,Tak,03/08/2016,BENZYNA KRAJ I-WŁ,Tak,Używane,True,True,True,True,True,True,,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,151 g/km,Tak,Tak,True,True,True,True,True,,True,True,True,True,True,,True,True,True,True,Polska,,,Tak,Tak,True,,True,,,,,,,,Tak,,Tak,,,,,,,True,,,,,Tak,,,36 miesięcy,,,,,,,,,,,,,,,,,
16,57195,"16:01, 7 lutego 2021",6081632768,Firmy,Osobowe,Renault,Trafic,ENERGY dCi 125 L2H1,III (2014-),2016,215 000 km,1 598 cm3,Diesel,125 KM,Manualna,Na przednie koła,Minivan,4,9,Biały,Tak,26/12/2016,,,Używane,True,,True,True,True,,,,,,True,,True,,True,,True,,,,True,True,True,,,True,,,,,,,,,,,True,,,True,True,,True,,,,,,,True,,Tak,Tak,,,,,,,,,,,,,Tak,,,,,,,,,,,,Tak,,,,,,,,,,,,,,,,,,,,
17,22900,"16:01, 7 lutego 2021",6081632843,Firmy,Osobowe,Renault,Scenic,III (2009-2016),III (2009-2013),2010,158 000 km,1 598 cm3,Benzyna,110 KM,Manualna,Na przednie koła,Minivan,5,5,Czarny,Tak,,,,Używane,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,Tak,Tak,True,True,True,True,True,True,True,True,True,,True,,True,True,True,True,Niemcy,,Tak,Tak,Tak,True,,True,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,34500,"16:00, 7 lutego 2021",6077799967,Osoby prywatnej,Osobowe,Renault,Grand Espace,,,2013,179 300 km,1 998 cm3,Benzyna,170 KM,Manualna,Na przednie koła,Minivan,5,7,Fioletowy,Tak,,,,Używane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tak,,,,,,,,,,,,,,,,,Niemcy,,,Tak,Tak,,,,,,,,,,,Tak,,,,,,,,,,,,,,,,,,Tak,,,,,,,,,,,,,,,,
19,8999,"16:00, 7 lutego 2021",6077584509,Osoby prywatnej,Osobowe,Renault,Laguna,1.5 dCi,III (2007-),2008,173 000 km,1 461 cm3,Diesel,110 KM,Manualna,Na przednie koła,Kompakt,5,5,Srebrny,Tak,,,Tak,Używane,True,True,True,True,True,,,True,,,True,True,True,,True,True,True,,,True,True,,True,True,True,,,True,,130 g/km,,Tak,True,True,,,,,,True,True,True,True,,,,,True,Francja,,,,,,,,,,,,,True,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,
