,price,offer date,ID,Oferta od,Kategoria,Marka pojazdu,Model pojazdu,Wersja,Generacja,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Napęd,Emisja CO2,Typ,Liczba drzwi,Liczba miejsc,Kolor,Metalik,Możliwość finansowania,Faktura VAT,Kraj pochodzenia,Pierwsza rejestracja,Numer rejestracyjny pojazdu,Zarejestrowany w Polsce,Pierwszy właściciel,Serwisowany w ASO,Stan,ABS,Poduszka powietrzna kierowcy,Bluetooth,Klimatyzacja automatyczna,Tempomat,Centralny zamek,Wspomaganie kierownicy,Czujnik deszczu,System Start-Stop,Immobilizer,Alarm,Elektrochromatyczne lusterko wsteczne,Światła LED,VAT marża,Gwarancja dealerska (w cenie),Elektryczne szyby przednie,Czujniki parkowania przednie,Elektryczne szyby tylne,Gniazdo SD,Kurtyny powietrzne,Podgrzewane lusterka boczne,Przyciemniane szyby,Światła do jazdy dziennej,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alufelgi,Czujniki parkowania tylne,ESP (stabilizacja toru jazdy),Gniazdo USB,Klimatyzacja dwustrefowa,MP3,Podgrzewane przednie siedzenia,Relingi dachowe,Wielofunkcyjna kierownica,Radio fabryczne,ASR (kontrola trakcji),Czujnik zmierzchu,Gniazdo AUX,Isofix,Komputer pokładowy,Ogranicznik prędkości,Poduszki boczne przednie,Światła Xenonowe,Tapicerka welurowa,Filtr cząstek stałych,Bezwypadkowy,Asystent parkowania,Klimatyzacja czterostrefowa,Poduszki boczne tylne,Elektrycznie ustawiane fotele,Kamera cofania,Nawigacja GPS,Poduszka powietrzna chroniąca kolana,Światła przeciwmgielne,Odtwarzacz DVD,Podgrzewane tylne siedzenia,Szyberdach,Tapicerka skórzana,Elektrochromatyczne lusterka boczne,Hak,Tempomat aktywny,Podgrzewana przednia szyba,Łopatki zmiany biegów,Zmieniarka CD,Klimatyzacja manualna,Leasing,Asystent pasa ruchu,Czujnik martwego pola,Dach panoramiczny,Perłowy,Kierownica po prawej (Anglik),Ogrzewanie postojowe,Uszkodzony,Okres gwarancji producenta,lub do (przebieg km),Regulowane zawieszenie,Akryl (niemetalizowany),HUD (wyświetlacz przezierny),Tuner TV,Radio niefabryczne,Opłata początkowa,Miesięczna rata,Liczba pozostałych rat,Wartość wykupu,Tuning,VIN,Matowy,Homologacja ciężarowa,Zarejestrowany jako zabytek
10,147900,"12:51, 7 lutego 2021",6081710552,Firmy,Osobowe,Audi,A4 Allroad,,,2017,113 000 km,1 968 cm3,Diesel,190 KM,Automatyczna,4x4 (dołączany automatycznie),,Kombi,5,5,Biały,Tak,Tak,Tak,Polska,23/11/2017,,Tak,Tak,Tak,Używane,True,True,True,True,,True,True,True,True,True,True,,True,,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,,True,True,True,True,True,True,True,,,,,,,,True,True,True,,True,True,,True,True,,True,True,,True,,,Tak,True,True,True,,,,,,,,,,,,,,,,,,,,
11,27700,"12:51, 7 lutego 2021",6081281586,Firmy,Osobowe,Audi,A3,2.0 TDI DPF Ambition,8P (2003-2012),2009,205 000 km,1 968 cm3,Diesel,140 KM,Manualna,Na przednie koła,148 g/km,Kompakt,5,5,Inny kolor,Tak,Tak,,Niemcy,,,,Tak,Tak,Używane,True,True,,True,,True,True,True,,True,True,True,True,Tak,,True,,True,,True,True,,True,True,True,True,True,True,True,,True,,True,True,,True,True,True,True,True,True,,True,True,,Tak,Tak,,,,,,,,True,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,34900,"12:51, 7 lutego 2021",6080113601,Firmy,Osobowe,Audi,A4,Avant 1.8 TFSI multitronic,B8 (2007-2015),2011,232 356 km,1 798 cm3,Benzyna,160 KM,Automatyczna,Na przednie koła,174 g/km,Kombi,5,5,Czarny,Tak,,,Szwajcaria,16/06/2020,LU755KM,Tak,,Tak,Używane,True,True,,,True,True,True,,,True,True,True,True,,3 miesięcy,True,True,True,,True,,,True,True,True,True,True,True,True,True,True,,True,,True,True,True,,,True,True,,True,True,,,,,,,,,,True,True,,,,,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
13,9500,"12:51, 7 lutego 2021",6074765245,Osoby prywatnej,Osobowe,Audi,A4,,B7 (2004-2007),2007,165 000 km,2 000 cm3,Diesel,140 KM,Manualna,Na przednie koła,,Kabriolet,2,4,Niebieski,Tak,,,,,,,,,Używane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tak,Tak,,,,,,,,,,,,,,,,,,
14,13500,"12:51, 7 lutego 2021",6082095659,Osoby prywatnej,Osobowe,Audi,A3,,8P (2003-2012),2004,236 000 km,1 595 cm3,Benzyna,102 KM,Manualna,Na przednie koła,,Kompakt,3,5,Srebrny,Tak,,,Niemcy,26/03/2004,,Tak,,Tak,Używane,True,True,,,,True,True,,,True,,,,,,True,,,,,,,,True,True,True,True,,True,,True,,,,,True,,,,,,,True,,,,Tak,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,20999,"12:51, 7 lutego 2021",6082095696,Firmy,Osobowe,Audi,A4,Avant 2.0 TDI,B8 (2007-2015),2009,221 744 km,1 968 cm3,Diesel,140 KM,Manualna,Na przednie koła,156 g/km,Kombi,5,5,Inny kolor,Tak,Tak,Tak,Niemcy,,,Tak,Tak,Tak,Używane,True,True,True,True,True,True,True,True,True,True,True,True,True,,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,Tak,,True,,True,True,,True,True,True,True,,,True,True,True,True,True,,True,,,True,,,Tak,,,,,,,,,,,,,,,,,,,
16,29900,"12:50, 7 lutego 2021",6081619699,Firmy,Osobowe,Audi,A4,,B8 (2007-2015),2008,170 000 km,1 798 cm3,Benzyna,160 KM,Manualna,Na przednie koła,172 g/km,Kombi,5,5,Czarny,Tak,,,Niemcy,04/11/2008,WL3110R,Tak,Tak,Tak,Używane,True,True,True,True,,True,True,True,,True,,True,,Tak,3 miesięcy,True,True,True,,True,True,,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,,True,,,,Tak,,,True,,,,True,True,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
17,38200,"12:50, 7 lutego 2021",6081281453,Osoby prywatnej,Osobowe,Audi,A6,4.2 Quattro Tiptronic,C6 (2004-2011),2006,175 000 km,4 163 cm3,Benzyna,334 KM,Automatyczna,4x4 (stały),,Sedan,5,5,Srebrny,,,,,,,Tak,,Tak,Używane,True,True,,True,True,True,True,True,,True,True,True,,,,True,True,True,,True,True,,True,True,True,True,True,True,True,,True,,True,,True,True,True,True,,,True,,,True,,,Tak,,,,True,,True,True,True,,,True,True,True,True,,,,True,,,,,,,,True,,,,,,,,,,,,,,,,,
18,180000,"12:49, 7 lutego 2021",6082095681,Firmy,Osobowe,Audi,e-tron,S Quattro,,2019,4 228 km,,Elektryczny,503 KM,Automatyczna,4x4 (stały),275 g/km,SUV,5,5,Biały,,,,,,,,,,Używane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tak,,,,,,,,,,,,,,,,
19,28900,"12:48, 7 lutego 2021",6080776478,Firmy,Osobowe,Audi,A3,1.6 TDI Ambiente,8P (2003-2012),2010,180 000 km,1 598 cm3,Diesel,105 KM,Manualna,Na przednie koła,99 g/km,Kompakt,5,5,Niebieski,Tak,,,Niemcy,,,Tak,Tak,Tak,Używane,True,True,,True,True,True,True,,,True,,True,True,Tak,,True,,True,,True,,,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,,True,True,,True,True,True,,Tak,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
