,price,offer date,ID,Oferta od,Kategoria,Marka pojazdu,Model pojazdu,Wersja,Generacja,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Napęd,Emisja CO2,Typ,Liczba drzwi,Liczba miejsc,Kolor,Metalik,VAT marża,Pierwszy właściciel,Bezwypadkowy,Serwisowany w ASO,Stan,ABS,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,ASR (kontrola trakcji),Czujnik deszczu,ESP (stabilizacja toru jazdy),Hak,Klimatyzacja automatyczna,Kurtyny powietrzne,Odtwarzacz DVD,Podgrzewane lusterka boczne,Poduszki boczne tylne,Światła do jazdy dziennej,Wielofunkcyjna kierownica,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alarm,Asystent parkowania,Czujnik zmierzchu,Gniazdo AUX,Isofix,Klimatyzacja dwustrefowa,MP3,Ogranicznik prędkości,Poduszka powietrzna chroniąca kolana,Przyciemniane szyby,Światła przeciwmgielne,Centralny zamek,Immobilizer,Radio fabryczne,Alufelgi,Bluetooth,Elektryczne szyby tylne,Gniazdo SD,Kamera cofania,Komputer pokładowy,Nawigacja GPS,Podgrzewana przednia szyba,Poduszki boczne przednie,System Start-Stop,Tempomat,Możliwość finansowania,Faktura VAT,Leasing,Kraj pochodzenia,Pierwsza rejestracja,Numer rejestracyjny pojazdu,Zarejestrowany w Polsce,Elektrochromatyczne lusterko wsteczne,Czujniki parkowania przednie,Podgrzewane przednie siedzenia,Czujniki parkowania tylne,Gniazdo USB,Klimatyzacja manualna,Filtr cząstek stałych,Tapicerka welurowa,Światła LED,Dach panoramiczny,Relingi dachowe,Elektrochromatyczne lusterka boczne,Elektrycznie ustawiane fotele,Łopatki zmiany biegów,Asystent pasa ruchu,Czujnik martwego pola,Światła Xenonowe,Tempomat aktywny,Perłowy,Tuning,Tapicerka skórzana,Regulowane zawieszenie,Tuner TV,Uszkodzony,Okres gwarancji producenta,lub do (przebieg km),Podgrzewane tylne siedzenia,HUD (wyświetlacz przezierny),Klimatyzacja czterostrefowa,Zmieniarka CD,Szyberdach,Ogrzewanie postojowe,Radio niefabryczne,Gwarancja dealerska (w cenie),VIN,Akryl (niemetalizowany),Miesięczna rata,Matowy,Homologacja ciężarowa,Opłata początkowa,Liczba pozostałych rat,Wartość wykupu,Zarejestrowany jako zabytek,Kierownica po prawej (Anglik)
1517,27500,"07:56, 5 lutego 2021",6080481961,Osoby prywatnej,Osobowe,Ford,Focus,1.6 TDCi Titanium,Mk3 (2010-),2013,198 000 km,1 560 cm3,Diesel,115 KM,Manualna,Na przednie koła,117 g/km,Kompakt,5,5,Czarny,Tak,,,Tak,,Używane,True,True,True,True,True,True,,,True,True,True,True,True,,True,True,True,True,True,,True,True,,True,,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,,,,Polska,,,Tak,,,,True,True,,Tak,True,,,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1518,8699,"07:56, 5 lutego 2021",6079421016,Firmy,Osobowe,Ford,Focus,1.6 Ambiente,Mk2 (2004-2011),2006,178 000 km,1 596 cm3,Benzyna,100 KM,Manualna,Na przednie koła,,Kompakt,5,5,Niebieski,Tak,Tak,,,,Używane,True,True,True,True,,,True,True,,True,,True,True,,True,True,True,True,True,,,,True,,True,,,,,True,True,True,,,,,,True,,,True,,,,,,Niemcy,01/06/2006,,,,,,,,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1519,76990,"07:53, 5 lutego 2021",6079878763,Firmy,Osobowe,Ford,Mondeo,,Mk5 (2014-),2017,85 000 km,2 688 cm3,Benzyna,325 KM,Automatyczna,4x4 (stały),,Sedan,4,5,Czarny,Tak,,,,,Używane,True,True,True,True,True,True,True,,True,True,,True,True,True,True,True,True,True,True,,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,,True,True,True,,True,,True,Tak,,,Stany Zjednoczone,01/01/2017,NOL2580A,Tak,True,,True,,True,,,,True,,,,True,,,True,True,,,,True,,,,,,,,,,True,,,,,,,,,,,,,
1520,18990,"07:51, 5 lutego 2021",6081806941,Firmy,Osobowe,Ford,KA,,II (2008-2018),2014,86 000 km,1 242 cm3,Benzyna,69 KM,Manualna,,,Auta małe,3,,Biały,,Tak,Tak,Tak,Tak,Używane,True,True,True,True,,,,,,True,,True,,True,,True,True,True,,,,,,,,,,,True,True,True,True,,,,,,True,,True,True,,True,,,,,,,,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1521,25900,"07:50, 5 lutego 2021",6080107644,Osoby prywatnej,Osobowe,Ford,C-MAX,2.0 TDCi,II (2010-),2011,177 000 km,1 997 cm3,Diesel,140 KM,Automatyczna,Na przednie koła,144 g/km,Minivan,5,5,Inny kolor,Tak,,,Tak,Tak,Używane,True,True,True,True,True,True,True,True,,True,,,True,,True,True,True,True,True,,,True,True,,True,True,True,,True,True,True,True,,,True,,,True,,,True,,True,,,,,,,,,True,,,True,True,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1522,58700,"07:49, 5 lutego 2021",6080799300,Firmy,Osobowe,Ford,Mondeo,2.0 TDCi Titanium,Mk5 (2014-),2016,143 258 km,1 997 cm3,Diesel,180 KM,Manualna,Na przednie koła,117 g/km,Kombi,5,5,Czarny,,Tak,,Tak,Tak,Używane,True,True,True,True,True,True,True,,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Tak,,,Niemcy,,,,True,True,True,True,True,,,True,True,,True,True,True,,True,True,,True,,,True,,,,,,True,True,,,,True,True,,,,,,,,,,,
1523,62000,"07:46, 5 lutego 2021",6081992990,Osoby prywatnej,Osobowe,Ford,Focus,2.0 EcoBoost ST,Mk3 (2010-),2017,45 000 km,1 999 cm3,Benzyna,250 KM,Manualna,Na przednie koła,159 g/km,Kompakt,5,5,Czarny,Tak,,,,,Używane,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,,True,True,True,,True,True,True,,,,,01/01/2017,,,True,,True,,True,,,,True,,,True,True,True,,,True,,,,True,,,,,,,,,,True,,,,,,,,,,,,,
1524,30800,"07:41, 5 lutego 2021",6081332109,Firmy,Osobowe,Ford,Focus,2.0 TDCi Titanium,Mk3 (2010-),2011,143 000 km,1 997 cm3,Diesel,163 KM,Manualna,Na przednie koła,129 g/km,Kombi,5,5,Czarny,Tak,,Tak,Tak,Tak,Używane,True,True,True,True,True,True,True,,,True,,True,True,True,True,True,True,True,,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,True,,True,True,,,Tak,,,Niemcy,,,Tak,True,,True,,True,,,,True,,True,,,,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
1525,11900,"07:41, 5 lutego 2021",6081091042,Firmy,Osobowe,Ford,Focus C-Max,1.8 Ghia,,2004,150 000 km,1 798 cm3,Benzyna,120 KM,Manualna,Na przednie koła,,Minivan,5,5,Niebieski,,,,,,Używane,True,True,True,True,,True,,,True,True,,True,True,,True,True,,True,,,True,,True,,True,,True,True,True,True,True,True,True,,True,,,True,,True,True,,True,,,,,,,Tak,,,True,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1526,20900,"07:37, 5 lutego 2021",6081992940,Firmy,Osobowe,Ford,Fiesta,1.0,Mk7 (2008-),2013,130 453 km,998 cm3,Benzyna,65 KM,Manualna,Na przednie koła,105 g/km,Kompakt,3,5,Biały,Tak,Tak,Tak,,Tak,Używane,True,True,True,True,,,True,,,,,True,,,,,,True,,,,,,,,,True,,,True,True,,True,,,,,True,,,,,,Tak,,,Niemcy,18/12/2013,FDSQV424,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,True,12 miesięcy,,,,,,,,,,
1527,26900,"07:36, 5 lutego 2021",6081781430,Firmy,Osobowe,Ford,Galaxy,2.0 TDCi Gold X,Mk2 (2006-2015),2011,270 000 km,1 997 cm3,Diesel,140 KM,Manualna,Na przednie koła,152 g/km,Minivan,5,7,Szary,Tak,Tak,Tak,,Tak,Używane,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,,True,Tak,,,,,,,True,True,True,True,True,,,,True,,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1528,15900,"07:30, 5 lutego 2021",6079129313,Firmy,Osobowe,Ford,Fiesta,1.4 TDCi Ghia,Mk7 (2008-),2009,174 106 km,1 399 cm3,Diesel,68 KM,Manualna,Na przednie koła,110 g/km,Auta miejskie,5,5,Inny kolor,Tak,Tak,,,Tak,Używane,True,True,True,True,True,True,True,,True,,,True,,,True,True,True,True,True,,True,True,True,,,,True,,True,True,True,True,,,,,,True,,True,,,,,,,Niemcy,01/08/2010,,,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1529,22500,"07:29, 5 lutego 2021",6081781356,Firmy,Osobowe,Ford,Focus,,Mk2 (2004-2011),2010,149 629 km,1 596 cm3,Benzyna,100 KM,Manualna,Na przednie koła,,Kombi,5,5,Srebrny,Tak,,,,Tak,Używane,True,,,True,True,True,True,,True,,,,,True,,,True,,,,True,,,,,,,,True,True,,True,True,,,,,True,,True,True,,,Tak,,Tak,Polska,24/09/2010,,Tak,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,134 PLN,,,,,,,
1530,27999,"07:28, 5 lutego 2021",6081349625,Firmy,Osobowe,Ford,Focus,,Mk3 (2010-),2013,198 000 km,1 999 cm3,Diesel,140 KM,Manualna,Na przednie koła,,Kombi,5,5,Fioletowy,Tak,Tak,,Tak,Tak,Używane,True,True,True,True,True,True,True,,True,True,,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,True,,True,,True,,,,,,True,,True,,,,,True,Tak,,,,,,,,,,,,,,,,,,,,,,,,,
